Move,Depth,Value
root,0,-Infinity
G6,1,Infinity
F5,2,0
G6,1,0
F6,2,0
G6,1,0
F7,2,0
G6,1,0
G5,2,0
G6,1,0
G7,2,-5
G6,1,-5
G8,2,-5
G6,1,-5
G9,2,0
G6,1,-5
H5,2,0
G6,1,-5
H6,2,-1
G6,1,-5
H9,2,0
G6,1,-5
I6,2,-5
G6,1,-5
I7,2,-5
G6,1,-5
I8,2,-1
G6,1,-5
I9,2,0
G6,1,-5
root,0,-5
G7,1,Infinity
F6,2,5
G7,1,5
F7,2,5
G7,1,5
F8,2,5
G7,1,5
G6,2,0
G7,1,0
G8,2,0
G7,1,0
G9,2,5
G7,1,0
H6,2,4
G7,1,0
H9,2,5
G7,1,0
I6,2,0
G7,1,0
I7,2,4
G7,1,0
I8,2,0
G7,1,0
I9,2,5
G7,1,0
root,0,0
G8,1,Infinity
F7,2,5
G8,1,5
F8,2,5
G8,1,5
F9,2,5
G8,1,5
G6,2,0
G8,1,0
G7,2,0
G8,1,0
G9,2,5
G8,1,0
H6,2,4
G8,1,0
H9,2,5
G8,1,0
I6,2,4
G8,1,0
I7,2,0
G8,1,0
I8,2,0
G8,1,0
I9,2,5
G8,1,0
root,0,0
G9,1,Infinity
F8,2,5
G9,1,5
F9,2,5
G9,1,5
F10,2,5
G9,1,5
G6,2,0
G9,1,0
G7,2,0
G9,1,0
G8,2,0
G9,1,0
G10,2,5
G9,1,0
H6,2,4
G9,1,0
H9,2,5
G9,1,0
H10,2,5
G9,1,0
I6,2,0
G9,1,0
I7,2,0
G9,1,0
I8,2,0
G9,1,0
I9,2,5
G9,1,0
root,0,0
H6,1,Infinity
G5,2,0
H6,1,0
G6,2,-5
H6,1,-5
G7,2,-5
H6,1,-5
G8,2,-5
H6,1,-5
G9,2,0
H6,1,-5
H5,2,0
H6,1,-5
H9,2,0
H6,1,-5
I5,2,0
H6,1,-5
I6,2,-5
H6,1,-5
I7,2,-5
H6,1,-5
I8,2,-5
H6,1,-5
I9,2,0
H6,1,-5
root,0,0
H9,1,Infinity
G6,2,-4
H9,1,-4
G7,2,-4
H9,1,-4
G8,2,-4
H9,1,-4
G9,2,1
H9,1,-4
G10,2,1
H9,1,-4
H6,2,0
H9,1,-4
H10,2,1
H9,1,-4
I6,2,-4
H9,1,-4
I7,2,-4
H9,1,-4
I8,2,-4
H9,1,-4
I9,2,1
H9,1,-4
I10,2,1
H9,1,-4
root,0,0
I6,1,Infinity
G6,2,-5
I6,1,-5
G7,2,-5
I6,1,-5
G8,2,-1
I6,1,-5
G9,2,0
I6,1,-5
H5,2,0
I6,1,-5
H6,2,-1
I6,1,-5
H9,2,0
I6,1,-5
I5,2,0
I6,1,-5
I7,2,-5
I6,1,-5
I8,2,-5
I6,1,-5
I9,2,0
I6,1,-5
J5,2,0
I6,1,-5
J6,2,0
I6,1,-5
J7,2,0
I6,1,-5
root,0,0
I7,1,Infinity
G6,2,0
I7,1,0
G7,2,4
I7,1,0
G8,2,0
I7,1,0
G9,2,5
I7,1,0
H6,2,4
I7,1,0
H9,2,5
I7,1,0
I6,2,0
I7,1,0
I8,2,0
I7,1,0
I9,2,5
I7,1,0
J6,2,5
I7,1,0
J7,2,5
I7,1,0
J8,2,5
I7,1,0
root,0,0
I8,1,Infinity
G6,2,4
I8,1,4
G7,2,0
I8,1,0
G8,2,0
I8,1,0
G9,2,5
I8,1,0
H6,2,4
I8,1,0
H9,2,5
I8,1,0
I6,2,0
I8,1,0
I7,2,0
I8,1,0
I9,2,5
I8,1,0
J7,2,5
I8,1,0
J8,2,5
I8,1,0
J9,2,5
I8,1,0
root,0,0
I9,1,Infinity
G6,2,0
I9,1,0
G7,2,0
I9,1,0
G8,2,0
I9,1,0
G9,2,5
I9,1,0
H6,2,4
I9,1,0
H9,2,5
I9,1,0
H10,2,5
I9,1,0
I6,2,0
I9,1,0
I7,2,0
I9,1,0
I8,2,0
I9,1,0
I10,2,5
I9,1,0
J8,2,5
I9,1,0
J9,2,5
I9,1,0
J10,2,5
I9,1,0
root,0,0
