Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
G7,1,Infinity,-Infinity,Infinity
F6,2,-Infinity,-Infinity,Infinity
E5,3,0,-Infinity,Infinity
F6,2,0,0,Infinity
E6,3,0,0,Infinity
F6,2,0,0,Infinity
E7,3,0,0,Infinity
F6,2,0,0,Infinity
F5,3,0,0,Infinity
F6,2,0,0,Infinity
F7,3,5,0,Infinity
F6,2,5,5,Infinity
F8,3,5,5,Infinity
F6,2,5,5,Infinity
G5,3,0,5,Infinity
F6,2,5,5,Infinity
G6,3,5,5,Infinity
F6,2,5,5,Infinity
G8,3,5,5,Infinity
F6,2,5,5,Infinity
G9,3,0,5,Infinity
F6,2,5,5,Infinity
H6,3,5,5,Infinity
F6,2,5,5,Infinity
H7,3,5,5,Infinity
F6,2,5,5,Infinity
H9,3,5,5,Infinity
F6,2,5,5,Infinity
H10,3,5,5,Infinity
F6,2,5,5,Infinity
I7,3,0,5,Infinity
F6,2,5,5,Infinity
I10,3,1,5,Infinity
F6,2,5,5,Infinity
J7,3,0,5,Infinity
F6,2,5,5,Infinity
J8,3,5,5,Infinity
F6,2,5,5,Infinity
J9,3,5,5,Infinity
F6,2,5,5,Infinity
J10,3,1,5,Infinity
F6,2,5,5,Infinity
G7,1,5,-Infinity,5
F7,2,-Infinity,-Infinity,5
E6,3,0,-Infinity,5
F7,2,0,0,5
E7,3,0,0,5
F7,2,0,0,5
E8,3,0,0,5
F7,2,0,0,5
F6,3,1,0,5
F7,2,1,1,5
F8,3,5,1,5
F7,2,5,1,5
G7,1,5,-Infinity,5
F8,2,-Infinity,-Infinity,5
E7,3,0,-Infinity,5
F8,2,0,0,5
E8,3,0,0,5
F8,2,0,0,5
E9,3,0,0,5
F8,2,0,0,5
F6,3,1,0,5
F8,2,1,1,5
F7,3,5,1,5
F8,2,5,1,5
G7,1,5,-Infinity,5
G6,2,-Infinity,-Infinity,5
F5,3,0,-Infinity,5
G6,2,0,0,5
F6,3,1,0,5
G6,2,1,1,5
F7,3,5,1,5
G6,2,5,1,5
G7,1,5,-Infinity,5
G8,2,-Infinity,-Infinity,5
F6,3,-49,-Infinity,5
G8,2,-49,-49,5
F7,3,-45,-49,5
G8,2,-45,-45,5
F8,3,455,-45,5
G8,2,455,-45,5
G7,1,5,-Infinity,5
G9,2,-Infinity,-Infinity,5
F6,3,-4,-Infinity,5
G9,2,-4,-4,5
F7,3,0,-4,5
G9,2,0,0,5
F8,3,0,0,5
G9,2,0,0,5
F9,3,-5,0,5
G9,2,0,0,5
F10,3,-5,0,5
G9,2,0,0,5
G6,3,0,0,5
G9,2,0,0,5
G8,3,-4,0,5
G9,2,0,0,5
G10,3,-5,0,5
G9,2,0,0,5
H6,3,0,0,5
G9,2,0,0,5
H7,3,0,0,5
G9,2,0,0,5
H9,3,-4,0,5
G9,2,0,0,5
H10,3,0,0,5
G9,2,0,0,5
I7,3,-5,0,5
G9,2,0,0,5
I10,3,-4,0,5
G9,2,0,0,5
J7,3,-5,0,5
G9,2,0,0,5
J8,3,0,0,5
G9,2,0,0,5
J9,3,0,0,5
G9,2,0,0,5
J10,3,-4,0,5
G9,2,0,0,5
G7,1,0,-Infinity,0
H6,2,-Infinity,-Infinity,0
F6,3,1,-Infinity,0
H6,2,1,-Infinity,0
G7,1,0,-Infinity,0
H7,2,-Infinity,-Infinity,0
F6,3,-9,-Infinity,0
H7,2,-9,-9,0
F7,3,-9,-9,0
H7,2,-9,-9,0
F8,3,-5,-9,0
H7,2,-5,-5,0
G6,3,-5,-5,0
H7,2,-5,-5,0
G8,3,-5,-5,0
H7,2,-5,-5,0
G9,3,-10,-5,0
H7,2,-5,-5,0
H6,3,-5,-5,0
H7,2,-5,-5,0
H9,3,-5,-5,0
H7,2,-5,-5,0
H10,3,-5,-5,0
H7,2,-5,-5,0
I6,3,-10,-5,0
H7,2,-5,-5,0
I7,3,-10,-5,0
H7,2,-5,-5,0
I10,3,-9,-5,0
H7,2,-5,-5,0
J7,3,-10,-5,0
H7,2,-5,-5,0
J8,3,-5,-5,0
H7,2,-5,-5,0
J9,3,-5,-5,0
H7,2,-5,-5,0
J10,3,-9,-5,0
H7,2,-5,-5,0
G7,1,-5,-Infinity,-5
H9,2,-Infinity,-Infinity,-5
F6,3,-9,-Infinity,-5
H9,2,-9,-9,-5
F7,3,-5,-9,-5
H9,2,-5,-9,-5
G7,1,-5,-Infinity,-5
H10,2,-Infinity,-Infinity,-5
F6,3,1,-Infinity,-5
H10,2,1,-Infinity,-5
G7,1,-5,-Infinity,-5
I7,2,-Infinity,-Infinity,-5
F6,3,-5,-Infinity,-5
I7,2,-5,-Infinity,-5
G7,1,-5,-Infinity,-5
I10,2,-Infinity,-Infinity,-5
F6,3,1,-Infinity,-5
I10,2,1,-Infinity,-5
G7,1,-5,-Infinity,-5
J7,2,-Infinity,-Infinity,-5
F6,3,-4,-Infinity,-5
J7,2,-4,-Infinity,-5
G7,1,-5,-Infinity,-5
J8,2,-Infinity,-Infinity,-5
F6,3,-49,-Infinity,-5
J8,2,-49,-49,-5
F7,3,-45,-49,-5
J8,2,-45,-45,-5
F8,3,-45,-45,-5
J8,2,-45,-45,-5
G6,3,-45,-45,-5
J8,2,-45,-45,-5
G8,3,455,-45,-5
J8,2,455,-45,-5
G7,1,-5,-Infinity,-5
J9,2,-Infinity,-Infinity,-5
F6,3,-4,-Infinity,-5
J9,2,-4,-Infinity,-5
G7,1,-5,-Infinity,-5
J10,2,-Infinity,-Infinity,-5
F6,3,1,-Infinity,-5
J10,2,1,-Infinity,-5
G7,1,-5,-Infinity,-5
root,0,-5,-5,Infinity
G8,1,Infinity,-5,Infinity
F7,2,-Infinity,-5,Infinity
E6,3,0,-5,Infinity
F7,2,0,0,Infinity
E7,3,0,0,Infinity
F7,2,0,0,Infinity
E8,3,0,0,Infinity
F7,2,0,0,Infinity
F6,3,0,0,Infinity
F7,2,0,0,Infinity
F8,3,1,0,Infinity
F7,2,1,1,Infinity
F9,3,5,1,Infinity
F7,2,5,5,Infinity
G6,3,0,5,Infinity
F7,2,5,5,Infinity
G7,3,5,5,Infinity
F7,2,5,5,Infinity
G9,3,5,5,Infinity
F7,2,5,5,Infinity
H7,3,5,5,Infinity
F7,2,5,5,Infinity
H9,3,6,5,Infinity
F7,2,6,6,Infinity
H10,3,5,6,Infinity
F7,2,6,6,Infinity
I7,3,0,6,Infinity
F7,2,6,6,Infinity
I10,3,1,6,Infinity
F7,2,6,6,Infinity
J7,3,0,6,Infinity
F7,2,6,6,Infinity
J8,3,5,6,Infinity
F7,2,6,6,Infinity
J9,3,5,6,Infinity
F7,2,6,6,Infinity
J10,3,1,6,Infinity
F7,2,6,6,Infinity
G8,1,6,-5,6
F8,2,-Infinity,-5,6
E7,3,0,-5,6
F8,2,0,0,6
E8,3,0,0,6
F8,2,0,0,6
E9,3,0,0,6
F8,2,0,0,6
F7,3,5,0,6
F8,2,5,5,6
F9,3,5,5,6
F8,2,5,5,6
G7,3,5,5,6
F8,2,5,5,6
G9,3,5,5,6
F8,2,5,5,6
H7,3,5,5,6
F8,2,5,5,6
H9,3,10,5,6
F8,2,10,5,6
G8,1,6,-5,6
F9,2,-Infinity,-5,6
E8,3,0,-5,6
F9,2,0,0,6
E9,3,0,0,6
F9,2,0,0,6
E10,3,0,0,6
F9,2,0,0,6
F7,3,5,0,6
F9,2,5,5,6
F8,3,1,5,6
F9,2,5,5,6
F10,3,0,5,6
F9,2,5,5,6
G7,3,5,5,6
F9,2,5,5,6
G9,3,5,5,6
F9,2,5,5,6
G10,3,0,5,6
F9,2,5,5,6
H7,3,1,5,6
F9,2,5,5,6
H9,3,10,5,6
F9,2,10,5,6
G8,1,6,-5,6
G7,2,-Infinity,-5,6
F6,3,-1,-5,6
G7,2,-1,-1,6
F7,3,4,-1,6
G7,2,4,4,6
F8,3,0,4,6
G7,2,4,4,6
F9,3,4,4,6
G7,2,4,4,6
G6,3,-1,4,6
G7,2,4,4,6
G9,3,0,4,6
G7,2,4,4,6
H6,3,-1,4,6
G7,2,4,4,6
H7,3,4,4,6
G7,2,4,4,6
H9,3,9,4,6
G7,2,9,4,6
G8,1,6,-5,6
G9,2,-Infinity,-5,6
F7,3,0,-5,6
G9,2,0,0,6
F8,3,-4,0,6
G9,2,0,0,6
F9,3,0,0,6
G9,2,0,0,6
F10,3,-5,0,6
G9,2,0,0,6
G7,3,-4,0,6
