Move,Depth,Value
root,0,-Infinity
G11,1,Infinity
F10,2,0
G11,1,0
F11,2,0
G11,1,0
F12,2,0
G11,1,0
G10,2,0
G11,1,0
G12,2,-10
G11,1,-10
G13,2,-5
G11,1,-10
G14,2,0
G11,1,-10
H10,2,0
G11,1,-10
H11,2,-2
G11,1,-10
H14,2,-6
G11,1,-10
H15,2,-6
G11,1,-10
H16,2,-1
G11,1,-10
I9,2,-5000
G11,1,-5000
I10,2,-5
G11,1,-5000
I11,2,-55
G11,1,-5000
I13,2,-5000
G11,1,-5000
I16,2,-50
G11,1,-5000
J9,2,-1
G11,1,-5000
J15,2,-10006
G11,1,-10006
J16,2,-5
G11,1,-10006
K9,2,-5
G11,1,-10006
K10,2,-6
G11,1,-10006
K14,2,-1
G11,1,-10006
K15,2,0
G11,1,-10006
L10,2,-1
G11,1,-10006
L11,2,-6
G11,1,-10006
L13,2,-6
G11,1,-10006
L14,2,-1
G11,1,-10006
M11,2,-10
G11,1,-10006
M13,2,-5000
G11,1,-10006
N11,2,0
G11,1,-10006
N12,2,0
G11,1,-10006
N13,2,0
G11,1,-10006
root,0,-10006
G12,1,Infinity
F11,2,1
G12,1,1
F12,2,1
G12,1,1
F13,2,1
G12,1,1
G11,2,-4
G12,1,-4
G13,2,-4
G12,1,-4
G14,2,1
G12,1,-4
H11,2,-1
G12,1,-4
H14,2,-5
G12,1,-5
H15,2,-5
G12,1,-5
H16,2,0
G12,1,-5
I9,2,-4999
G12,1,-4999
I10,2,-4
G12,1,-4999
I11,2,-54
G12,1,-4999
I13,2,-5000
G12,1,-5000
I16,2,-49
G12,1,-5000
J9,2,0
G12,1,-5000
J15,2,-10005
G12,1,-10005
J16,2,-4
G12,1,-10005
K9,2,-4
G12,1,-10005
K10,2,-5
G12,1,-10005
K14,2,0
G12,1,-10005
K15,2,1
G12,1,-10005
L10,2,0
G12,1,-10005
L11,2,-5
G12,1,-10005
L13,2,-5
G12,1,-10005
L14,2,0
G12,1,-10005
M11,2,-9
G12,1,-10005
M13,2,-4999
G12,1,-10005
N11,2,1
G12,1,-10005
N12,2,1
G12,1,-10005
N13,2,1
G12,1,-10005
root,0,-10005
G13,1,Infinity
F12,2,5
G13,1,5
F13,2,5
G13,1,5
F14,2,5
G13,1,5
G11,2,0
G13,1,0
G12,2,-5
G13,1,-5
G14,2,5
G13,1,-5
H11,2,3
G13,1,-5
H14,2,3
G13,1,-5
H15,2,-1
G13,1,-5
H16,2,4
G13,1,-5
I9,2,-4995
G13,1,-4995
I10,2,0
G13,1,-4995
I11,2,-10
G13,1,-4995
I13,2,-4996
G13,1,-4996
I16,2,-45
G13,1,-4996
J9,2,4
G13,1,-4996
J15,2,-10001
G13,1,-10001
J16,2,0
G13,1,-10001
K9,2,0
G13,1,-10001
K10,2,-1
G13,1,-10001
K14,2,4
G13,1,-10001
K15,2,5
