Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
E7,1,Infinity,-Infinity,Infinity
D6,2,-9000,-Infinity,Infinity
E7,1,-9000,-Infinity,-9000
D7,2,1000,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
D8,2,1000,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
E6,2,1000,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
E8,2,1000,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
E9,2,1000,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
F6,2,999,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
F7,2,1000,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
F9,2,1000,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
F10,2,900,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
G6,2,990,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
G8,2,993,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
G10,2,495,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
G11,2,950,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
G12,2,995,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
G13,2,990,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
H4,2,950,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
H5,2,999,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
H6,2,989,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
H11,2,994,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
H13,2,990,-Infinity,-9000
E7,1,-9000,-Infinity,-9000
H14,2,-49000,-Infinity,-9000
E7,1,-49000,-Infinity,-49000
I4,2,995,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
I6,2,993,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
I8,2,990,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
I12,2,940,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
I14,2,995,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
J4,2,995,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
J7,2,999,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
J8,2,1000,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
J9,2,1000,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
J11,2,-1,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
J13,2,994,-Infinity,-49000
E7,1,-49000,-Infinity,-49000
