Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
G6,1,Infinity,-Infinity,Infinity
F5,2,0,-Infinity,Infinity
G6,1,0,-Infinity,0
F6,2,0,-Infinity,0
G6,1,0,-Infinity,0
F7,2,0,-Infinity,0
G6,1,0,-Infinity,0
G5,2,0,-Infinity,0
G6,1,0,-Infinity,0
G7,2,-5,-Infinity,0
G6,1,-5,-Infinity,-5
G8,2,-5,-Infinity,-5
G6,1,-5,-Infinity,-5
G9,2,0,-Infinity,-5
G6,1,-5,-Infinity,-5
H5,2,0,-Infinity,-5
G6,1,-5,-Infinity,-5
H6,2,-1,-Infinity,-5
G6,1,-5,-Infinity,-5
H9,2,0,-Infinity,-5
G6,1,-5,-Infinity,-5
I6,2,-5,-Infinity,-5
G6,1,-5,-Infinity,-5
I7,2,-5,-Infinity,-5
G6,1,-5,-Infinity,-5
I8,2,-1,-Infinity,-5
G6,1,-5,-Infinity,-5
I9,2,0,-Infinity,-5
G6,1,-5,-Infinity,-5
root,0,-5,-5,Infinity
G7,1,Infinity,-5,Infinity
F6,2,5,-5,Infinity
G7,1,5,-5,5
F7,2,5,-5,5
G7,1,5,-5,5
F8,2,5,-5,5
G7,1,5,-5,5
G6,2,0,-5,5
G7,1,0,-5,0
G8,2,0,-5,0
G7,1,0,-5,0
G9,2,5,-5,0
G7,1,0,-5,0
H6,2,4,-5,0
G7,1,0,-5,0
H9,2,5,-5,0
G7,1,0,-5,0
I6,2,0,-5,0
G7,1,0,-5,0
I7,2,4,-5,0
G7,1,0,-5,0
I8,2,0,-5,0
G7,1,0,-5,0
I9,2,5,-5,0
G7,1,0,-5,0
root,0,0,0,Infinity
G8,1,Infinity,0,Infinity
F7,2,5,0,Infinity
G8,1,5,0,5
F8,2,5,0,5
G8,1,5,0,5
F9,2,5,0,5
G8,1,5,0,5
G6,2,0,0,5
G8,1,0,0,5
root,0,0,0,Infinity
G9,1,Infinity,0,Infinity
F8,2,5,0,Infinity
G9,1,5,0,5
F9,2,5,0,5
G9,1,5,0,5
F10,2,5,0,5
G9,1,5,0,5
G6,2,0,0,5
G9,1,0,0,5
root,0,0,0,Infinity
H6,1,Infinity,0,Infinity
G5,2,0,0,Infinity
H6,1,0,0,Infinity
root,0,0,0,Infinity
H9,1,Infinity,0,Infinity
G6,2,-4,0,Infinity
H9,1,-4,0,Infinity
root,0,0,0,Infinity
I6,1,Infinity,0,Infinity
G6,2,-5,0,Infinity
I6,1,-5,0,Infinity
root,0,0,0,Infinity
I7,1,Infinity,0,Infinity
G6,2,0,0,Infinity
I7,1,0,0,Infinity
root,0,0,0,Infinity
I8,1,Infinity,0,Infinity
G6,2,4,0,Infinity
I8,1,4,0,4
G7,2,0,0,4
I8,1,0,0,4
root,0,0,0,Infinity
I9,1,Infinity,0,Infinity
G6,2,0,0,Infinity
I9,1,0,0,Infinity
root,0,0,0,Infinity
