Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
F7,1,Infinity,-Infinity,Infinity
E6,2,-Infinity,-Infinity,Infinity
D5,3,Infinity,-Infinity,Infinity
C4,4,5,-Infinity,Infinity
D5,3,5,-Infinity,5
C5,4,5,-Infinity,5
D5,3,5,-Infinity,5
C6,4,5,-Infinity,5
D5,3,5,-Infinity,5
D4,4,5,-Infinity,5
D5,3,5,-Infinity,5
D6,4,0,-Infinity,5
D5,3,0,-Infinity,0
D7,4,0,-Infinity,0
D5,3,0,-Infinity,0
E4,4,5,-Infinity,0
D5,3,0,-Infinity,0
E5,4,0,-Infinity,0
D5,3,0,-Infinity,0
E7,4,0,-Infinity,0
D5,3,0,-Infinity,0
E8,4,5,-Infinity,0
D5,3,0,-Infinity,0
F5,4,0,-Infinity,0
D5,3,0,-Infinity,0
F6,4,0,-Infinity,0
D5,3,0,-Infinity,0
F8,4,5,-Infinity,0
D5,3,0,-Infinity,0
F9,4,5,-Infinity,0
D5,3,0,-Infinity,0
G6,4,5,-Infinity,0
D5,3,0,-Infinity,0
G7,4,0,-Infinity,0
D5,3,0,-Infinity,0
G9,4,-45,-Infinity,0
D5,3,-45,-Infinity,-45
H6,4,0,-Infinity,-45
D5,3,-45,-Infinity,-45
H7,4,-5,-Infinity,-45
D5,3,-45,-Infinity,-45
H9,4,0,-Infinity,-45
D5,3,-45,-Infinity,-45
I6,4,0,-Infinity,-45
D5,3,-45,-Infinity,-45
I8,4,-1,-Infinity,-45
D5,3,-45,-Infinity,-45
I9,4,0,-Infinity,-45
D5,3,-45,-Infinity,-45
J6,4,-45,-Infinity,-45
D5,3,-45,-Infinity,-45
J7,4,0,-Infinity,-45
D5,3,-45,-Infinity,-45
J8,4,0,-Infinity,-45
D5,3,-45,-Infinity,-45
E6,2,-45,-45,Infinity
D6,3,Infinity,-45,Infinity
C5,4,5,-45,Infinity
D6,3,5,-45,5
C6,4,5,-45,5
D6,3,5,-45,5
C7,4,5,-45,5
D6,3,5,-45,5
D5,4,4,-45,5
D6,3,4,-45,4
D7,4,0,-45,4
D6,3,0,-45,0
E5,4,0,-45,0
D6,3,0,-45,0
E7,4,0,-45,0
D6,3,0,-45,0
E8,4,5,-45,0
D6,3,0,-45,0
F5,4,0,-45,0
D6,3,0,-45,0
F6,4,4,-45,0
D6,3,0,-45,0
F8,4,5,-45,0
D6,3,0,-45,0
F9,4,5,-45,0
D6,3,0,-45,0
G6,4,5,-45,0
D6,3,0,-45,0
G7,4,0,-45,0
D6,3,0,-45,0
G9,4,-45,-45,0
D6,3,-45,-45,0
E6,2,-45,-45,Infinity
D7,3,Infinity,-45,Infinity
C6,4,5,-45,Infinity
D7,3,5,-45,5
C7,4,5,-45,5
D7,3,5,-45,5
C8,4,5,-45,5
D7,3,5,-45,5
D5,4,4,-45,5
D7,3,4,-45,4
D6,4,0,-45,4
D7,3,0,-45,0
D8,4,5,-45,0
D7,3,0,-45,0
E5,4,0,-45,0
D7,3,0,-45,0
E7,4,0,-45,0
D7,3,0,-45,0
E8,4,5,-45,0
