Move,Depth,Value
root,0,-Infinity
G6,1,Infinity
F5,2,0
G6,1,0
F6,2,0
G6,1,0
F7,2,0
G6,1,0
G5,2,0
G6,1,0
G7,2,-10
G6,1,-10
G8,2,-6
G6,1,-10
G9,2,-5
G6,1,-10
H5,2,0
G6,1,-10
H6,2,-50
G6,1,-50
H9,2,-50
G6,1,-50
I6,2,-5
G6,1,-50
I7,2,-10
G6,1,-50
I9,2,-5
G6,1,-50
J7,2,0
G6,1,-50
J8,2,0
G6,1,-50
J9,2,0
G6,1,-50
root,0,-50
G7,1,Infinity
F6,2,0
G7,1,0
F7,2,0
G7,1,0
F8,2,0
G7,1,0
G6,2,-1
G7,1,-1
G8,2,-6
G7,1,-6
G9,2,-5
G7,1,-6
H6,2,-50
G7,1,-50
H9,2,-50
G7,1,-50
I6,2,-5
G7,1,-50
I7,2,-6
G7,1,-50
I9,2,-1
G7,1,-50
J7,2,0
G7,1,-50
J8,2,0
G7,1,-50
J9,2,0
G7,1,-50
root,0,-50
G8,1,Infinity
F7,2,0
G8,1,0
F8,2,0
G8,1,0
F9,2,0
G8,1,0
G6,2,-1
G8,1,-1
G7,2,-10
G8,1,-10
G9,2,-5
G8,1,-10
H6,2,-50
G8,1,-50
H9,2,-50
G8,1,-50
I6,2,-1
G8,1,-50
I7,2,-10
G8,1,-50
I9,2,-5
G8,1,-50
J7,2,0
G8,1,-50
J8,2,0
G8,1,-50
J9,2,0
G8,1,-50
root,0,-50
G9,1,Infinity
F8,2,0
G9,1,0
F9,2,0
G9,1,0
F10,2,0
G9,1,0
G6,2,-1
G9,1,-1
G7,2,-10
G9,1,-10
G8,2,-6
G9,1,-10
G10,2,0
G9,1,-10
H6,2,-50
G9,1,-50
H9,2,-50
G9,1,-50
H10,2,0
G9,1,-50
I6,2,-5
G9,1,-50
I7,2,-6
G9,1,-50
I9,2,-5
G9,1,-50
J7,2,0
G9,1,-50
J8,2,0
G9,1,-50
J9,2,0
G9,1,-50
root,0,-50
H6,1,Infinity
G5,2,0
H6,1,0
G6,2,-1
H6,1,-1
G7,2,-10
H6,1,-10
G8,2,-6
H6,1,-10
G9,2,-5
H6,1,-10
H5,2,0
H6,1,-10
H9,2,-10
H6,1,-10
I5,2,0
H6,1,-10
I6,2,-5
H6,1,-10
I7,2,-10
H6,1,-10
I9,2,-5
H6,1,-10
J7,2,0
H6,1,-10
J8,2,0
H6,1,-10
J9,2,0
H6,1,-10
root,0,-10
H9,1,Infinity
G6,2,4
H9,1,4
G7,2,-5
H9,1,-5
G8,2,-1
H9,1,-5
G9,2,0
H9,1,-5
G10,2,5
H9,1,-5
H6,2,-5
H9,1,-5
H10,2,5
H9,1,-5
I6,2,0
H9,1,-5
I7,2,-5
H9,1,-5
I9,2,0
H9,1,-5
I10,2,5
H9,1,-5
J7,2,5
H9,1,-5
J8,2,5
H9,1,-5
J9,2,5
H9,1,-5
root,0,-5
I6,1,Infinity
G6,2,-1
I6,1,-1
G7,2,-10
