Move,Depth,Value
root,0,-Infinity
E7,1,Infinity
D6,2,-9000
E7,1,-9000
D7,2,1000
E7,1,-9000
D8,2,1000
E7,1,-9000
E6,2,1000
E7,1,-9000
E8,2,1000
E7,1,-9000
E9,2,1000
E7,1,-9000
F6,2,999
E7,1,-9000
F7,2,1000
E7,1,-9000
F9,2,1000
E7,1,-9000
F10,2,900
E7,1,-9000
G6,2,990
E7,1,-9000
G8,2,993
E7,1,-9000
G10,2,495
E7,1,-9000
G11,2,950
E7,1,-9000
G12,2,995
E7,1,-9000
G13,2,990
E7,1,-9000
H4,2,950
E7,1,-9000
H5,2,999
E7,1,-9000
H6,2,989
E7,1,-9000
H11,2,994
E7,1,-9000
H13,2,990
E7,1,-9000
H14,2,-49000
E7,1,-49000
I4,2,995
E7,1,-49000
I6,2,993
E7,1,-49000
I8,2,990
E7,1,-49000
I12,2,940
E7,1,-49000
I14,2,995
E7,1,-49000
J4,2,995
E7,1,-49000
J7,2,999
E7,1,-49000
J8,2,1000
E7,1,-49000
J9,2,1000
E7,1,-49000
J11,2,-1
E7,1,-49000
J13,2,994
E7,1,-49000
J14,2,950
E7,1,-49000
K4,2,1000
E7,1,-49000
K5,2,999
E7,1,-49000
K6,2,995
E7,1,-49000
K7,2,950
E7,1,-49000
K8,2,1000
E7,1,-49000
K10,2,493
E7,1,-49000
K12,2,989
E7,1,-49000
K14,2,1000
E7,1,-49000
L8,2,1000
E7,1,-49000
L9,2,950
E7,1,-49000
L12,2,949
E7,1,-49000
L13,2,1000
E7,1,-49000
L14,2,1000
E7,1,-49000
M9,2,-49000
E7,1,-49000
M10,2,990
E7,1,-49000
M12,2,995
E7,1,-49000
N10,2,1000
E7,1,-49000
N11,2,1000
E7,1,-49000
N12,2,1000
E7,1,-49000
root,0,-49000
E8,1,Infinity
D7,2,5
E8,1,5
D8,2,5
E8,1,5
D9,2,5
E8,1,5
E7,2,-95
E8,1,-95
E9,2,5
E8,1,-95
F6,2,4
E8,1,-95
F7,2,-5
E8,1,-95
F9,2,5
E8,1,-95
F10,2,-95
E8,1,-95
G6,2,-5
E8,1,-95
G8,2,-2
E8,1,-95
G10,2,-500
E8,1,-500
G11,2,-45
E8,1,-500
G12,2,0
E8,1,-500
G13,2,-5
E8,1,-500
H4,2,-45
E8,1,-500
H5,2,4
E8,1,-500
H6,2,-6
E8,1,-500
H11,2,-1
E8,1,-500
H13,2,-5
E8,1,-500
H14,2,-49995
E8,1,-49995
I4,2,0
E8,1,-49995
I6,2,-2
E8,1,-49995
I8,2,-5
E8,1,-49995
I12,2,-55
E8,1,-49995
I14,2,0
E8,1,-49995
J4,2,0
E8,1,-49995
J7,2,4
E8,1,-49995
J8,2,5
E8,1,-49995
J9,2,5
E8,1,-49995
J11,2,-996
E8,1,-49995
J13,2,-1
E8,1,-49995
J14,2,-45
E8,1,-49995
K4,2,5
E8,1,-49995
K5,2,4
E8,1,-49995
K6,2,0
E8,1,-49995
K7,2,-45
E8,1,-49995
K8,2,5
E8,1,-49995
K10,2,-502
E8,1,-49995
K12,2,-6
E8,1,-49995
K14,2,5
E8,1,-49995
L8,2,5
E8,1,-49995
L9,2,-45
E8,1,-49995
L12,2,-46
E8,1,-49995
L13,2,5
E8,1,-49995
L14,2,5
E8,1,-49995
M9,2,-49995
E8,1,-49995
M10,2,-5
E8,1,-49995
M12,2,0
E8,1,-49995
N10,2,5
E8,1,-49995
N11,2,5
E8,1,-49995
N12,2,5
E8,1,-49995
root,0,-49000
E9,1,Infinity
D8,2,1
E9,1,1
D9,2,1
E9,1,1
D10,2,1
E9,1,1
E7,2,-99
E9,1,-99
E8,2,1
E9,1,-99
E10,2,1
E9,1,-99
F6,2,0
E9,1,-99
F7,2,-9
E9,1,-99
F9,2,1
E9,1,-99
F10,2,-99
E9,1,-99
G6,2,-9
E9,1,-99
G8,2,-6
E9,1,-99
G10,2,-504
E9,1,-504
G11,2,-49
E9,1,-504
G12,2,-4
E9,1,-504
G13,2,-9
E9,1,-504
H4,2,-49
E9,1,-504
H5,2,0
E9,1,-504
H6,2,-10
E9,1,-504
H11,2,-5
E9,1,-504
H13,2,-9
E9,1,-504
H14,2,-49999
E9,1,-49999
I4,2,-4
E9,1,-49999
I6,2,-6
E9,1,-49999
I8,2,-9
E9,1,-49999
I12,2,-59
E9,1,-49999
I14,2,-4
E9,1,-49999
J4,2,-4
E9,1,-49999
J7,2,0
E9,1,-49999
J8,2,1
E9,1,-49999
J9,2,1
E9,1,-49999
J11,2,-1000
E9,1,-49999
J13,2,-5
E9,1,-49999
J14,2,-49
E9,1,-49999
K4,2,1
E9,1,-49999
K5,2,0
E9,1,-49999
K6,2,-4
E9,1,-49999
K7,2,-49
E9,1,-49999
K8,2,1
E9,1,-49999
K10,2,-506
E9,1,-49999
K12,2,-10
E9,1,-49999
K14,2,1
E9,1,-49999
L8,2,1
E9,1,-49999
L9,2,-49
E9,1,-49999
L12,2,-50
E9,1,-49999
L13,2,1
E9,1,-49999
L14,2,1
E9,1,-49999
M9,2,-49999
E9,1,-49999
M10,2,-9
E9,1,-49999
M12,2,-4
E9,1,-49999
N10,2,1
E9,1,-49999
N11,2,1
E9,1,-49999
N12,2,1
E9,1,-49999
root,0,-49000
F6,1,Infinity
E5,2,0
F6,1,0
E6,2,0
F6,1,0
E7,2,-100
F6,1,-100
E8,2,0
F6,1,-100
E9,2,0
F6,1,-100
F5,2,0
F6,1,-100
F7,2,-10
F6,1,-100
F9,2,0
F6,1,-100
F10,2,-100
F6,1,-100
G5,2,0
F6,1,-100
G6,2,-10
F6,1,-100
G8,2,-7
F6,1,-100
G10,2,-505
F6,1,-505
G11,2,-50
F6,1,-505
G12,2,-5
F6,1,-505
G13,2,-10
F6,1,-505
H4,2,-50
F6,1,-505
H5,2,-1
F6,1,-505
H6,2,-11
F6,1,-505
H11,2,-6
F6,1,-505
H13,2,-10
F6,1,-505
H14,2,-50000
F6,1,-50000
I4,2,-5
F6,1,-50000
I6,2,-7
F6,1,-50000
I8,2,-10
F6,1,-50000
I12,2,-60
F6,1,-50000
I14,2,-5
F6,1,-50000
J4,2,-5
F6,1,-50000
J7,2,-1
F6,1,-50000
J8,2,0
F6,1,-50000
J9,2,0
F6,1,-50000
J11,2,-1001
F6,1,-50000
J13,2,-6
F6,1,-50000
J14,2,-50
F6,1,-50000
K4,2,0
F6,1,-50000
K5,2,-1
F6,1,-50000
K6,2,-5
F6,1,-50000
K7,2,-50
F6,1,-50000
K8,2,0
F6,1,-50000
K10,2,-507
F6,1,-50000
K12,2,-11
F6,1,-50000
K14,2,0
F6,1,-50000
L8,2,0
