Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
G7,1,Infinity,-Infinity,Infinity
F6,2,-Infinity,-Infinity,Infinity
E5,3,-450,-Infinity,Infinity
F6,2,-450,-450,Infinity
E6,3,-450,-450,Infinity
F6,2,-450,-450,Infinity
E7,3,-450,-450,Infinity
F6,2,-450,-450,Infinity
F5,3,-450,-450,Infinity
F6,2,-450,-450,Infinity
F7,3,-445,-450,Infinity
F6,2,-445,-445,Infinity
F8,3,-445,-445,Infinity
F6,2,-445,-445,Infinity
G5,3,-450,-445,Infinity
F6,2,-445,-445,Infinity
G6,3,-445,-445,Infinity
F6,2,-445,-445,Infinity
G8,3,-440,-445,Infinity
F6,2,-440,-440,Infinity
G9,3,-449,-440,Infinity
F6,2,-440,-440,Infinity
H6,3,-445,-440,Infinity
F6,2,-440,-440,Infinity
H7,3,-444,-440,Infinity
F6,2,-440,-440,Infinity
H9,3,-440,-440,Infinity
F6,2,-440,-440,Infinity
H10,3,-449,-440,Infinity
F6,2,-440,-440,Infinity
I6,3,-450,-440,Infinity
F6,2,-440,-440,Infinity
I8,3,-348,-440,Infinity
F6,2,-348,-348,Infinity
I10,3,-445,-348,Infinity
F6,2,-348,-348,Infinity
J6,3,-449,-348,Infinity
F6,2,-348,-348,Infinity
J7,3,-449,-348,Infinity
F6,2,-348,-348,Infinity
J9,3,-445,-348,Infinity
F6,2,-348,-348,Infinity
J10,3,550,-348,Infinity
F6,2,550,550,Infinity
K6,3,-449,550,Infinity
F6,2,550,550,Infinity
K9,3,-450,550,Infinity
F6,2,550,550,Infinity
L6,3,-399,550,Infinity
F6,2,550,550,Infinity
L7,3,-395,550,Infinity
F6,2,550,550,Infinity
L9,3,-445,550,Infinity
F6,2,550,550,Infinity
M6,3,-400,550,Infinity
F6,2,550,550,Infinity
M9,3,-399,550,Infinity
F6,2,550,550,Infinity
N6,3,-449,550,Infinity
F6,2,550,550,Infinity
N7,3,-439,550,Infinity
F6,2,550,550,Infinity
N9,3,-440,550,Infinity
F6,2,550,550,Infinity
O6,3,-450,550,Infinity
F6,2,550,550,Infinity
O8,3,-440,550,Infinity
F6,2,550,550,Infinity
O9,3,-400,550,Infinity
F6,2,550,550,Infinity
P6,3,-450,550,Infinity
F6,2,550,550,Infinity
P8,3,-450,550,Infinity
F6,2,550,550,Infinity
Q6,3,-450,550,Infinity
F6,2,550,550,Infinity
Q7,3,-450,550,Infinity
F6,2,550,550,Infinity
Q8,3,-450,550,Infinity
F6,2,550,550,Infinity
G7,1,550,-Infinity,550
F7,2,-Infinity,-Infinity,550
E6,3,50,-Infinity,550
F7,2,50,50,550
E7,3,50,50,550
F7,2,50,50,550
E8,3,50,50,550
F7,2,50,50,550
F6,3,5050,50,550
F7,2,5050,50,550
G7,1,550,-Infinity,550
F8,2,-Infinity,-Infinity,550
E7,3,50,-Infinity,550
F8,2,50,50,550
E8,3,50,50,550
F8,2,50,50,550
E9,3,50,50,550
F8,2,50,50,550
F6,3,5050,50,550
F8,2,5050,50,550
G7,1,550,-Infinity,550
G6,2,-Infinity,-Infinity,550
F5,3,50,-Infinity,550
G6,2,50,50,550
F6,3,5050,50,550
G6,2,5050,50,550
G7,1,550,-Infinity,550
G8,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
G8,2,5050,-Infinity,550
G7,1,550,-Infinity,550
G9,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
G9,2,5050,-Infinity,550
G7,1,550,-Infinity,550
H6,2,-Infinity,-Infinity,550
F6,3,5000,-Infinity,550
H6,2,5000,-Infinity,550
G7,1,550,-Infinity,550
H7,2,-Infinity,-Infinity,550
F6,3,5049,-Infinity,550
H7,2,5049,-Infinity,550
G7,1,550,-Infinity,550
H9,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
H9,2,5050,-Infinity,550
G7,1,550,-Infinity,550
H10,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
H10,2,5050,-Infinity,550
G7,1,550,-Infinity,550
I6,2,-Infinity,-Infinity,550
F6,3,5045,-Infinity,550
I6,2,5045,-Infinity,550
G7,1,550,-Infinity,550
I8,2,-Infinity,-Infinity,550
F6,3,5049,-Infinity,550
I8,2,5049,-Infinity,550
G7,1,550,-Infinity,550
I10,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
I10,2,5050,-Infinity,550
G7,1,550,-Infinity,550
J6,2,-Infinity,-Infinity,550
F6,3,5049,-Infinity,550
J6,2,5049,-Infinity,550
G7,1,550,-Infinity,550
J7,2,-Infinity,-Infinity,550
F6,3,5039,-Infinity,550
J7,2,5039,-Infinity,550
G7,1,550,-Infinity,550
J9,2,-Infinity,-Infinity,550
F6,3,5040,-Infinity,550
J9,2,5040,-Infinity,550
G7,1,550,-Infinity,550
J10,2,-Infinity,-Infinity,550
F6,3,550,-Infinity,550
J10,2,550,-Infinity,550
G7,1,550,-Infinity,550
K6,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
K6,2,5050,-Infinity,550
G7,1,550,-Infinity,550
K9,2,-Infinity,-Infinity,550
F6,3,4998,-Infinity,550
K9,2,4998,-Infinity,550
G7,1,550,-Infinity,550
L6,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
L6,2,5050,-Infinity,550
G7,1,550,-Infinity,550
L7,2,-Infinity,-Infinity,550
F6,3,5040,-Infinity,550
L7,2,5040,-Infinity,550
G7,1,550,-Infinity,550
L9,2,-Infinity,-Infinity,550
F6,3,5040,-Infinity,550
L9,2,5040,-Infinity,550
G7,1,550,-Infinity,550
M6,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
M6,2,5050,-Infinity,550
G7,1,550,-Infinity,550
M9,2,-Infinity,-Infinity,550
F6,3,5049,-Infinity,550
M9,2,5049,-Infinity,550
G7,1,550,-Infinity,550
N6,2,-Infinity,-Infinity,550
F6,3,5045,-Infinity,550
N6,2,5045,-Infinity,550
G7,1,550,-Infinity,550
N7,2,-Infinity,-Infinity,550
F6,3,5040,-Infinity,550
N7,2,5040,-Infinity,550
G7,1,550,-Infinity,550
N9,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
N9,2,5050,-Infinity,550
G7,1,550,-Infinity,550
O6,2,-Infinity,-Infinity,550
F6,3,5040,-Infinity,550
O6,2,5040,-Infinity,550
G7,1,550,-Infinity,550
O8,2,-Infinity,-Infinity,550
F6,3,5040,-Infinity,550
O8,2,5040,-Infinity,550
G7,1,550,-Infinity,550
O9,2,-Infinity,-Infinity,550
F6,3,5050,-Infinity,550
O9,2,5050,-Infinity,550
G7,1,550,-Infinity,550
P6,2,-Infinity,-Infinity,550
F6,3,5044,-Infinity,550
P6,2,5044,-Infinity,550
G7,1,550,-Infinity,550
P8,2,-Infinity,-Infinity,550
F6,3,5040,-Infinity,550
P8,2,5040,-Infinity,550
G7,1,550,-Infinity,550
Q6,2,-Infinity,-Infinity,550
F6,3,5049,-Infinity,550
Q6,2,5049,-Infinity,550
G7,1,550,-Infinity,550
Q7,2,-Infinity,-Infinity,550
F6,3,5040,-Infinity,550
Q7,2,5040,-Infinity,550
G7,1,550,-Infinity,550
Q8,2,-Infinity,-Infinity,550
F6,3,5049,-Infinity,550
Q8,2,5049,-Infinity,550
G7,1,550,-Infinity,550
root,0,550,550,Infinity
G8,1,Infinity,550,Infinity
F7,2,-Infinity,550,Infinity
E6,3,5,550,Infinity
F7,2,5,550,Infinity
E7,3,5,550,Infinity
F7,2,5,550,Infinity
E8,3,5,550,Infinity
F7,2,5,550,Infinity
F6,3,5,550,Infinity
F7,2,5,550,Infinity
F8,3,55,550,Infinity
F7,2,55,550,Infinity
F9,3,10,550,Infinity
F7,2,55,550,Infinity
G6,3,5,550,Infinity
F7,2,55,550,Infinity
G7,3,60,550,Infinity
F7,2,60,550,Infinity
G9,3,11,550,Infinity
F7,2,60,550,Infinity
H6,3,5,550,Infinity
F7,2,60,550,Infinity
H7,3,15,550,Infinity
F7,2,60,550,Infinity
H9,3,16,550,Infinity
F7,2,60,550,Infinity
H10,3,6,550,Infinity
F7,2,60,550,Infinity
I6,3,5,550,Infinity
F7,2,60,550,Infinity
I8,3,116,550,Infinity
F7,2,116,550,Infinity
I10,3,10,550,Infinity
F7,2,116,550,Infinity
J6,3,6,550,Infinity
F7,2,116,550,Infinity
J7,3,6,550,Infinity
F7,2,116,550,Infinity
J9,3,10,550,Infinity
