Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
G11,1,Infinity,-Infinity,Infinity
F10,2,0,-Infinity,Infinity
G11,1,0,-Infinity,0
F11,2,0,-Infinity,0
G11,1,0,-Infinity,0
F12,2,0,-Infinity,0
G11,1,0,-Infinity,0
G10,2,0,-Infinity,0
G11,1,0,-Infinity,0
G12,2,-10,-Infinity,0
G11,1,-10,-Infinity,-10
G13,2,-5,-Infinity,-10
G11,1,-10,-Infinity,-10
G14,2,0,-Infinity,-10
G11,1,-10,-Infinity,-10
H10,2,0,-Infinity,-10
G11,1,-10,-Infinity,-10
H11,2,-2,-Infinity,-10
G11,1,-10,-Infinity,-10
H14,2,-6,-Infinity,-10
G11,1,-10,-Infinity,-10
H15,2,-6,-Infinity,-10
G11,1,-10,-Infinity,-10
H16,2,-1,-Infinity,-10
G11,1,-10,-Infinity,-10
I9,2,-5000,-Infinity,-10
G11,1,-5000,-Infinity,-5000
I10,2,-5,-Infinity,-5000
G11,1,-5000,-Infinity,-5000
I11,2,-55,-Infinity,-5000
G11,1,-5000,-Infinity,-5000
I13,2,-5000,-Infinity,-5000
G11,1,-5000,-Infinity,-5000
I16,2,-50,-Infinity,-5000
G11,1,-5000,-Infinity,-5000
J9,2,-1,-Infinity,-5000
G11,1,-5000,-Infinity,-5000
J15,2,-10006,-Infinity,-5000
G11,1,-10006,-Infinity,-10006
J16,2,-5,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
K9,2,-5,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
K10,2,-6,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
K14,2,-1,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
K15,2,0,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
L10,2,-1,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
L11,2,-6,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
L13,2,-6,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
L14,2,-1,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
M11,2,-10,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
M13,2,-5000,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
N11,2,0,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
N12,2,0,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
N13,2,0,-Infinity,-10006
G11,1,-10006,-Infinity,-10006
root,0,-10006,-10006,Infinity
G12,1,Infinity,-10006,Infinity
F11,2,1,-10006,Infinity
G12,1,1,-10006,1
F12,2,1,-10006,1
G12,1,1,-10006,1
F13,2,1,-10006,1
G12,1,1,-10006,1
G11,2,-4,-10006,1
G12,1,-4,-10006,-4
G13,2,-4,-10006,-4
G12,1,-4,-10006,-4
G14,2,1,-10006,-4
G12,1,-4,-10006,-4
H11,2,-1,-10006,-4
G12,1,-4,-10006,-4
H14,2,-5,-10006,-4
G12,1,-5,-10006,-5
H15,2,-5,-10006,-5
G12,1,-5,-10006,-5
H16,2,0,-10006,-5
G12,1,-5,-10006,-5
I9,2,-4999,-10006,-5
G12,1,-4999,-10006,-4999
I10,2,-4,-10006,-4999
G12,1,-4999,-10006,-4999
I11,2,-54,-10006,-4999
G12,1,-4999,-10006,-4999
I13,2,-5000,-10006,-4999
G12,1,-5000,-10006,-5000
I16,2,-49,-10006,-5000
G12,1,-5000,-10006,-5000
J9,2,0,-10006,-5000
G12,1,-5000,-10006,-5000
J15,2,-10005,-10006,-5000
G12,1,-10005,-10006,-10005
J16,2,-4,-10006,-10005
G12,1,-10005,-10006,-10005
K9,2,-4,-10006,-10005
G12,1,-10005,-10006,-10005
K10,2,-5,-10006,-10005
G12,1,-10005,-10006,-10005
K14,2,0,-10006,-10005
G12,1,-10005,-10006,-10005
K15,2,1,-10006,-10005
G12,1,-10005,-10006,-10005
L10,2,0,-10006,-10005
G12,1,-10005,-10006,-10005
L11,2,-5,-10006,-10005
G12,1,-10005,-10006,-10005
L13,2,-5,-10006,-10005
G12,1,-10005,-10006,-10005
L14,2,0,-10006,-10005
G12,1,-10005,-10006,-10005
M11,2,-9,-10006,-10005
G12,1,-10005,-10006,-10005
M13,2,-4999,-10006,-10005
G12,1,-10005,-10006,-10005
N11,2,1,-10006,-10005
G12,1,-10005,-10006,-10005
N12,2,1,-10006,-10005
G12,1,-10005,-10006,-10005
N13,2,1,-10006,-10005
G12,1,-10005,-10006,-10005
root,0,-10005,-10005,Infinity
G13,1,Infinity,-10005,Infinity
F12,2,5,-10005,Infinity
G13,1,5,-10005,5
F13,2,5,-10005,5
G13,1,5,-10005,5
F14,2,5,-10005,5
G13,1,5,-10005,5
G11,2,0,-10005,5
G13,1,0,-10005,0
G12,2,-5,-10005,0
G13,1,-5,-10005,-5
G14,2,5,-10005,-5
G13,1,-5,-10005,-5
H11,2,3,-10005,-5
G13,1,-5,-10005,-5
H14,2,3,-10005,-5
G13,1,-5,-10005,-5
H15,2,-1,-10005,-5
G13,1,-5,-10005,-5
H16,2,4,-10005,-5
G13,1,-5,-10005,-5
I9,2,-4995,-10005,-5
G13,1,-4995,-10005,-4995
I10,2,0,-10005,-4995
G13,1,-4995,-10005,-4995
I11,2,-10,-10005,-4995
G13,1,-4995,-10005,-4995
I13,2,-4996,-10005,-4995
G13,1,-4996,-10005,-4996
I16,2,-45,-10005,-4996
G13,1,-4996,-10005,-4996
J9,2,4,-10005,-4996
G13,1,-4996,-10005,-4996
J15,2,-10001,-10005,-4996
G13,1,-10001,-10005,-10001
J16,2,0,-10005,-10001
G13,1,-10001,-10005,-10001
K9,2,0,-10005,-10001
G13,1,-10001,-10005,-10001
K10,2,-1,-10005,-10001
G13,1,-10001,-10005,-10001
K14,2,4,-10005,-10001
G13,1,-10001,-10005,-10001
K15,2,5,-10005,-10001
G13,1,-10001,-10005,-10001
L10,2,4,-10005,-10001
G13,1,-10001,-10005,-10001
L11,2,-1,-10005,-10001
G13,1,-10001,-10005,-10001
L13,2,-1,-10005,-10001
G13,1,-10001,-10005,-10001
L14,2,4,-10005,-10001
G13,1,-10001,-10005,-10001
M11,2,-5,-10005,-10001
G13,1,-10001,-10005,-10001
M13,2,-4995,-10005,-10001
G13,1,-10001,-10005,-10001
N11,2,5,-10005,-10001
G13,1,-10001,-10005,-10001
N12,2,5,-10005,-10001
G13,1,-10001,-10005,-10001
N13,2,5,-10005,-10001
G13,1,-10001,-10005,-10001
root,0,-10001,-10001,Infinity
G14,1,Infinity,-10001,Infinity
F13,2,1,-10001,Infinity
G14,1,1,-10001,1
F14,2,1,-10001,1
G14,1,1,-10001,1
F15,2,1,-10001,1
G14,1,1,-10001,1
G11,2,-4,-10001,1
G14,1,-4,-10001,-4
G12,2,-9,-10001,-4
G14,1,-9,-10001,-9
G13,2,-4,-10001,-9
G14,1,-9,-10001,-9
G15,2,1,-10001,-9
G14,1,-9,-10001,-9
H11,2,-1,-10001,-9
G14,1,-9,-10001,-9
H14,2,-4,-10001,-9
G14,1,-9,-10001,-9
H15,2,-5,-10001,-9
G14,1,-9,-10001,-9
H16,2,0,-10001,-9
G14,1,-9,-10001,-9
I9,2,-4999,-10001,-9
G14,1,-4999,-10001,-4999
I10,2,-4,-10001,-4999
G14,1,-4999,-10001,-4999
I11,2,-54,-10001,-4999
G14,1,-4999,-10001,-4999
I13,2,-5000,-10001,-4999
G14,1,-5000,-10001,-5000
I16,2,-49,-10001,-5000
G14,1,-5000,-10001,-5000
J9,2,0,-10001,-5000
G14,1,-5000,-10001,-5000
J15,2,-10005,-10001,-5000
G14,1,-10005,-10001,-5000
root,0,-10001,-10001,Infinity
H11,1,Infinity,-10001,Infinity
G10,2,0,-10001,Infinity
H11,1,0,-10001,0
G11,2,-5,-10001,0
H11,1,-5,-10001,-5
G12,2,-10,-10001,-5
H11,1,-10,-10001,-10
G13,2,-5,-10001,-10
H11,1,-10,-10001,-10
G14,2,0,-10001,-10
H11,1,-10,-10001,-10
H10,2,0,-10001,-10
H11,1,-10,-10001,-10
H14,2,-6,-10001,-10
H11,1,-10,-10001,-10
H15,2,-6,-10001,-10
H11,1,-10,-10001,-10
H16,2,-1,-10001,-10
H11,1,-10,-10001,-10
I9,2,-5000,-10001,-10
H11,1,-5000,-10001,-5000
I10,2,-5,-10001,-5000
H11,1,-5000,-10001,-5000
I11,2,-55,-10001,-5000
H11,1,-5000,-10001,-5000
I13,2,-5001,-10001,-5000
H11,1,-5001,-10001,-5001
I16,2,-50,-10001,-5001
H11,1,-5001,-10001,-5001
J9,2,-1,-10001,-5001
H11,1,-5001,-10001,-5001
J15,2,-10006,-10001,-5001
H11,1,-10006,-10001,-5001
root,0,-10001,-10001,Infinity
H14,1,Infinity,-10001,Infinity
G11,2,-4,-10001,Infinity
H14,1,-4,-10001,-4
G12,2,-9,-10001,-4
H14,1,-9,-10001,-9
G13,2,-4,-10001,-9
H14,1,-9,-10001,-9
G14,2,1,-10001,-9
H14,1,-9,-10001,-9
G15,2,1,-10001,-9
H14,1,-9,-10001,-9
H11,2,-1,-10001,-9
H14,1,-9,-10001,-9
H15,2,-5,-10001,-9
H14,1,-9,-10001,-9
H16,2,0,-10001,-9
H14,1,-9,-10001,-9
I9,2,-4999,-10001,-9
H14,1,-4999,-10001,-4999
I10,2,-4,-10001,-4999
H14,1,-4999,-10001,-4999
I11,2,-54,-10001,-4999
H14,1,-4999,-10001,-4999
I13,2,-5000,-10001,-4999
H14,1,-5000,-10001,-5000
I16,2,-49,-10001,-5000
H14,1,-5000,-10001,-5000
J9,2,0,-10001,-5000
H14,1,-5000,-10001,-5000
J15,2,-10005,-10001,-5000
H14,1,-10005,-10001,-5000
root,0,-10001,-10001,Infinity
H15,1,Infinity,-10001,Infinity
G11,2,-5,-10001,Infinity
H15,1,-5,-10001,-5
G12,2,-10,-10001,-5
H15,1,-10,-10001,-10
G13,2,-5,-10001,-10
H15,1,-10,-10001,-10
G14,2,0,-10001,-10
H15,1,-10,-10001,-10
G15,2,0,-10001,-10
H15,1,-10,-10001,-10
G16,2,0,-10001,-10
H15,1,-10,-10001,-10
H11,2,-2,-10001,-10
H15,1,-10,-10001,-10
H14,2,-6,-10001,-10
H15,1,-10,-10001,-10
H16,2,-1,-10001,-10
H15,1,-10,-10001,-10
I9,2,-5000,-10001,-10
H15,1,-5000,-10001,-5000
I10,2,-5,-10001,-5000
H15,1,-5000,-10001,-5000
I11,2,-55,-10001,-5000
H15,1,-5000,-10001,-5000
I13,2,-5001,-10001,-5000
H15,1,-5001,-10001,-5001
I16,2,-50,-10001,-5001
H15,1,-5001,-10001,-5001
J9,2,-1,-10001,-5001
H15,1,-5001,-10001,-5001
J15,2,-10002,-10001,-5001
H15,1,-10002,-10001,-5001
root,0,-10001,-10001,Infinity
H16,1,Infinity,-10001,Infinity
G11,2,-5,-10001,Infinity
H16,1,-5,-10001,-5
G12,2,-10,-10001,-5
H16,1,-10,-10001,-10
G13,2,-5,-10001,-10
H16,1,-10,-10001,-10
G14,2,0,-10001,-10
H16,1,-10,-10001,-10
G15,2,0,-10001,-10
H16,1,-10,-10001,-10
G16,2,0,-10001,-10
H16,1,-10,-10001,-10
G17,2,0,-10001,-10
H16,1,-10,-10001,-10
