Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
G6,1,Infinity,-Infinity,Infinity
F5,2,0,-Infinity,Infinity
G6,1,0,-Infinity,0
F6,2,0,-Infinity,0
G6,1,0,-Infinity,0
F7,2,0,-Infinity,0
G6,1,0,-Infinity,0
G5,2,0,-Infinity,0
G6,1,0,-Infinity,0
G7,2,-10,-Infinity,0
G6,1,-10,-Infinity,-10
G8,2,-6,-Infinity,-10
G6,1,-10,-Infinity,-10
G9,2,-5,-Infinity,-10
G6,1,-10,-Infinity,-10
H5,2,0,-Infinity,-10
G6,1,-10,-Infinity,-10
H6,2,-50,-Infinity,-10
G6,1,-50,-Infinity,-50
H9,2,-50,-Infinity,-50
G6,1,-50,-Infinity,-50
I6,2,-5,-Infinity,-50
G6,1,-50,-Infinity,-50
I7,2,-10,-Infinity,-50
G6,1,-50,-Infinity,-50
I9,2,-5,-Infinity,-50
G6,1,-50,-Infinity,-50
J7,2,0,-Infinity,-50
G6,1,-50,-Infinity,-50
J8,2,0,-Infinity,-50
G6,1,-50,-Infinity,-50
J9,2,0,-Infinity,-50
G6,1,-50,-Infinity,-50
root,0,-50,-50,Infinity
G7,1,Infinity,-50,Infinity
F6,2,0,-50,Infinity
G7,1,0,-50,0
F7,2,0,-50,0
G7,1,0,-50,0
F8,2,0,-50,0
G7,1,0,-50,0
G6,2,-1,-50,0
G7,1,-1,-50,-1
G8,2,-6,-50,-1
G7,1,-6,-50,-6
G9,2,-5,-50,-6
G7,1,-6,-50,-6
H6,2,-50,-50,-6
G7,1,-50,-50,-6
root,0,-50,-50,Infinity
G8,1,Infinity,-50,Infinity
F7,2,0,-50,Infinity
G8,1,0,-50,0
F8,2,0,-50,0
G8,1,0,-50,0
F9,2,0,-50,0
G8,1,0,-50,0
G6,2,-1,-50,0
G8,1,-1,-50,-1
G7,2,-10,-50,-1
G8,1,-10,-50,-10
G9,2,-5,-50,-10
G8,1,-10,-50,-10
H6,2,-50,-50,-10
G8,1,-50,-50,-10
root,0,-50,-50,Infinity
G9,1,Infinity,-50,Infinity
F8,2,0,-50,Infinity
G9,1,0,-50,0
F9,2,0,-50,0
G9,1,0,-50,0
F10,2,0,-50,0
G9,1,0,-50,0
G6,2,-1,-50,0
G9,1,-1,-50,-1
G7,2,-10,-50,-1
G9,1,-10,-50,-10
G8,2,-6,-50,-10
G9,1,-10,-50,-10
G10,2,0,-50,-10
G9,1,-10,-50,-10
H6,2,-50,-50,-10
G9,1,-50,-50,-10
root,0,-50,-50,Infinity
H6,1,Infinity,-50,Infinity
G5,2,0,-50,Infinity
H6,1,0,-50,0
G6,2,-1,-50,0
H6,1,-1,-50,-1
G7,2,-10,-50,-1
H6,1,-10,-50,-10
G8,2,-6,-50,-10
H6,1,-10,-50,-10
G9,2,-5,-50,-10
H6,1,-10,-50,-10
H5,2,0,-50,-10
H6,1,-10,-50,-10
H9,2,-10,-50,-10
H6,1,-10,-50,-10
I5,2,0,-50,-10
H6,1,-10,-50,-10
I6,2,-5,-50,-10
H6,1,-10,-50,-10
I7,2,-10,-50,-10
H6,1,-10,-50,-10
I9,2,-5,-50,-10
H6,1,-10,-50,-10
J7,2,0,-50,-10
H6,1,-10,-50,-10
J8,2,0,-50,-10
H6,1,-10,-50,-10
J9,2,0,-50,-10
H6,1,-10,-50,-10
root,0,-10,-10,Infinity
H9,1,Infinity,-10,Infinity
G6,2,4,-10,Infinity
H9,1,4,-10,4
G7,2,-5,-10,4
H9,1,-5,-10,-5
G8,2,-1,-10,-5
H9,1,-5,-10,-5
G9,2,0,-10,-5
H9,1,-5,-10,-5
G10,2,5,-10,-5
H9,1,-5,-10,-5
H6,2,-5,-10,-5
H9,1,-5,-10,-5
H10,2,5,-10,-5
H9,1,-5,-10,-5
I6,2,0,-10,-5
H9,1,-5,-10,-5
I7,2,-5,-10,-5
H9,1,-5,-10,-5
I9,2,0,-10,-5
H9,1,-5,-10,-5
I10,2,5,-10,-5
H9,1,-5,-10,-5
J7,2,5,-10,-5
H9,1,-5,-10,-5
J8,2,5,-10,-5
H9,1,-5,-10,-5
J9,2,5,-10,-5
H9,1,-5,-10,-5
root,0,-5,-5,Infinity
I6,1,Infinity,-5,Infinity
G6,2,-1,-5,Infinity
I6,1,-1,-5,-1
G7,2,-10,-5,-1
I6,1,-10,-5,-1
root,0,-5,-5,Infinity
I7,1,Infinity,-5,Infinity
G6,2,4,-5,Infinity
I7,1,4,-5,4
G7,2,-1,-5,4
I7,1,-1,-5,-1
G8,2,-1,-5,-1
I7,1,-1,-5,-1
G9,2,4,-5,-1
I7,1,-1,-5,-1
H6,2,-45,-5,-1
I7,1,-45,-5,-1
root,0,-5,-5,Infinity
I9,1,Infinity,-5,Infinity
G6,2,4,-5,Infinity
I9,1,4,-5,4
G7,2,-1,-5,4
I9,1,-1,-5,-1
G8,2,-1,-5,-1
I9,1,-1,-5,-1
G9,2,0,-5,-1
I9,1,-1,-5,-1
H6,2,-45,-5,-1
I9,1,-45,-5,-1
root,0,-5,-5,Infinity
J7,1,Infinity,-5,Infinity
G6,2,4,-5,Infinity
J7,1,4,-5,4
G7,2,-5,-5,4
J7,1,-5,-5,4
root,0,-5,-5,Infinity
J8,1,Infinity,-5,Infinity
G6,2,0,-5,Infinity
J8,1,0,-5,0
