Move,Depth,Value
root,0,-Infinity
G7,1,Infinity
F6,2,-Infinity
E5,3,0
F6,2,0
E6,3,0
F6,2,0
E7,3,0
F6,2,0
F5,3,0
F6,2,0
F7,3,5
F6,2,5
F8,3,5
F6,2,5
G5,3,0
F6,2,5
G6,3,5
F6,2,5
G8,3,5
F6,2,5
G9,3,0
F6,2,5
H6,3,5
F6,2,5
H7,3,5
F6,2,5
H9,3,5
F6,2,5
H10,3,5
F6,2,5
I7,3,0
F6,2,5
I10,3,1
F6,2,5
J7,3,0
F6,2,5
J8,3,5
F6,2,5
J9,3,5
F6,2,5
J10,3,1
F6,2,5
G7,1,5
F7,2,-Infinity
E6,3,0
F7,2,0
E7,3,0
F7,2,0
E8,3,0
F7,2,0
F6,3,1
F7,2,1
F8,3,5
F7,2,5
G6,3,5
F7,2,5
G8,3,5
F7,2,5
G9,3,0
F7,2,5
H6,3,5
F7,2,5
H7,3,1
F7,2,5
H9,3,5
F7,2,5
H10,3,5
F7,2,5
I7,3,0
F7,2,5
I10,3,1
F7,2,5
J7,3,0
F7,2,5
J8,3,5
F7,2,5
J9,3,5
F7,2,5
J10,3,1
F7,2,5
G7,1,5
F8,2,-Infinity
E7,3,0
F8,2,0
E8,3,0
F8,2,0
E9,3,0
F8,2,0
F6,3,1
F8,2,1
F7,3,5
F8,2,5
F9,3,0
F8,2,5
G6,3,5
F8,2,5
G8,3,5
F8,2,5
G9,3,0
F8,2,5
H6,3,1
F8,2,5
H7,3,5
F8,2,5
H9,3,5
F8,2,5
H10,3,5
F8,2,5
I7,3,0
F8,2,5
I10,3,1
F8,2,5
J7,3,0
F8,2,5
J8,3,5
F8,2,5
J9,3,5
F8,2,5
J10,3,1
F8,2,5
G7,1,5
G6,2,-Infinity
F5,3,0
G6,2,0
F6,3,1
G6,2,1
F7,3,5
G6,2,5
F8,3,5
G6,2,5
G5,3,0
G6,2,5
G8,3,1
G6,2,5
G9,3,0
G6,2,5
H5,3,0
G6,2,5
H6,3,5
G6,2,5
H7,3,5
G6,2,5
H9,3,5
G6,2,5
H10,3,5
G6,2,5
I7,3,0
G6,2,5
I10,3,1
G6,2,5
J7,3,0
G6,2,5
J8,3,5
G6,2,5
J9,3,5
G6,2,5
J10,3,1
G6,2,5
G7,1,5
G8,2,-Infinity
F6,3,-49
G8,2,-49
F7,3,-45
G8,2,-45
F8,3,455
G8,2,455
F9,3,-50
G8,2,455
G6,3,-49
G8,2,455
G9,3,-50
G8,2,455
H6,3,-45
G8,2,455
H7,3,-45
G8,2,455
H9,3,-45
G8,2,455
H10,3,-45
G8,2,455
I7,3,-50
G8,2,455
I10,3,-49
G8,2,455
J7,3,-50
G8,2,455
J8,3,455
G8,2,455
J9,3,-45
G8,2,455
J10,3,-49
G8,2,455
G7,1,5
G9,2,-Infinity
F6,3,-4
G9,2,-4
F7,3,0
G9,2,0
F8,3,0
G9,2,0
F9,3,-5
G9,2,0
F10,3,-5
G9,2,0
G6,3,0
G9,2,0
G8,3,-4
G9,2,0
G10,3,-5
G9,2,0
H6,3,0
G9,2,0
H7,3,0
G9,2,0
H9,3,-4
G9,2,0
H10,3,0
G9,2,0
I7,3,-5
G9,2,0
I10,3,-4
G9,2,0
J7,3,-5
G9,2,0
J8,3,0
G9,2,0
J9,3,0
G9,2,0
J10,3,-4
G9,2,0
G7,1,0
H6,2,-Infinity
F6,3,1
H6,2,1
F7,3,5
H6,2,5
F8,3,1
H6,2,5
G5,3,0
H6,2,5
G6,3,5
H6,2,5
G8,3,5
H6,2,5
G9,3,0
H6,2,5
H5,3,0
H6,2,5
H7,3,5
H6,2,5
H9,3,5
H6,2,5
H10,3,5
H6,2,5
I5,3,0
H6,2,5
I6,3,0
H6,2,5
I7,3,0
H6,2,5
I10,3,1
H6,2,5
J7,3,0
H6,2,5
J8,3,5
H6,2,5
J9,3,5
H6,2,5
J10,3,1
H6,2,5
G7,1,0
H7,2,-Infinity
F6,3,-9
H7,2,-9
F7,3,-9
H7,2,-9
F8,3,-5
H7,2,-5
G6,3,-5
H7,2,-5
G8,3,-5
H7,2,-5
G9,3,-10
H7,2,-5
H6,3,-5
H7,2,-5
H9,3,-5
H7,2,-5
H10,3,-5
H7,2,-5
I6,3,-10
H7,2,-5
I7,3,-10
H7,2,-5
I10,3,-9
H7,2,-5
J7,3,-10
H7,2,-5
J8,3,-5
H7,2,-5
J9,3,-5
H7,2,-5
J10,3,-9
H7,2,-5
G7,1,-5
H9,2,-Infinity
F6,3,-9
H9,2,-9
F7,3,-5
H9,2,-5
F8,3,-5
H9,2,-5
G6,3,-5
H9,2,-5
G8,3,-5
H9,2,-5
G9,3,-10
H9,2,-5
G10,3,-10
H9,2,-5
H6,3,-5
H9,2,-5
H7,3,-5
H9,2,-5
H10,3,-5
H9,2,-5
I7,3,-10
H9,2,-5
I10,3,-9
H9,2,-5
J7,3,-10
H9,2,-5
J8,3,-5
H9,2,-5
J9,3,-9
H9,2,-5
J10,3,-9
H9,2,-5
G7,1,-5
H10,2,-Infinity
F6,3,1
H10,2,1
F7,3,5
H10,2,5
F8,3,5
H10,2,5
G6,3,5
H10,2,5
G8,3,5
H10,2,5
G9,3,0
H10,2,5
G10,3,0
H10,2,5
G11,3,0
H10,2,5
H6,3,5
H10,2,5
H7,3,5
H10,2,5
H9,3,5
H10,2,5
H11,3,0
H10,2,5
I7,3,0
H10,2,5
I10,3,1
H10,2,5
I11,3,0
H10,2,5
J7,3,0
H10,2,5
J8,3,1
H10,2,5
J9,3,5
H10,2,5
J10,3,1
H10,2,5
G7,1,-5
I7,2,-Infinity
F6,3,-5
I7,2,-5
F7,3,-1
I7,2,-1
F8,3,-1
I7,2,-1
G6,3,-1
I7,2,-1
G8,3,-1
I7,2,-1
G9,3,-6
I7,2,-1
H6,3,-1
I7,2,-1
H7,3,-5
I7,2,-1
H9,3,-1
I7,2,-1
H10,3,-1
I7,2,-1
I6,3,-6
I7,2,-1
I10,3,-5
I7,2,-1
J6,3,-6
I7,2,-1
J7,3,-6
I7,2,-1
J8,3,-1
I7,2,-1
J9,3,-1
I7,2,-1
J10,3,-5
I7,2,-1
G7,1,-5
I10,2,-Infinity
F6,3,1
I10,2,1
F7,3,5
I10,2,5
F8,3,5
I10,2,5
G6,3,5
I10,2,5
G8,3,5
I10,2,5
G9,3,0
I10,2,5
H6,3,5
I10,2,5
H7,3,5
I10,2,5
H9,3,5
I10,2,5
H10,3,5
I10,2,5
H11,3,0
I10,2,5
I7,3,0
I10,2,5
I11,3,0
I10,2,5
J7,3,0
I10,2,5
J8,3,5
I10,2,5
J9,3,5
I10,2,5
J10,3,1
I10,2,5
J11,3,0
I10,2,5
G7,1,-5
J7,2,-Infinity
F6,3,-4
J7,2,-4
F7,3,0
J7,2,0
F8,3,0
J7,2,0
G6,3,0
J7,2,0
G8,3,0
J7,2,0
G9,3,-5
J7,2,0
H6,3,0
J7,2,0
H7,3,0
J7,2,0
H9,3,0
J7,2,0
H10,3,0
J7,2,0
I6,3,-5
J7,2,0
I7,3,-5
J7,2,0
I10,3,-4
J7,2,0
J6,3,-5
J7,2,0
J8,3,0
J7,2,0
J9,3,0
J7,2,0
J10,3,-4
J7,2,0
K6,3,-5
J7,2,0
K7,3,-5
J7,2,0
K8,3,-5
J7,2,0
G7,1,-5
J8,2,-Infinity
F6,3,-49
J8,2,-49
F7,3,-45
J8,2,-45
F8,3,-45
J8,2,-45
G6,3,-45
J8,2,-45
G8,3,455
J8,2,455
G9,3,-50
J8,2,455
H6,3,-45
J8,2,455
H7,3,-45
J8,2,455
H9,3,-45
J8,2,455
H10,3,-49
J8,2,455
I7,3,-50
J8,2,455
I10,3,-49
J8,2,455
J7,3,-50
J8,2,455
J9,3,-45
J8,2,455
J10,3,-49
J8,2,455
K7,3,-50
J8,2,455
K8,3,450
J8,2,455
K9,3,-50
J8,2,455
G7,1,-5
J9,2,-Infinity
F6,3,-4
J9,2,-4
F7,3,0
J9,2,0
F8,3,0
J9,2,0
G6,3,0
J9,2,0
G8,3,0
J9,2,0
G9,3,-5
J9,2,0
H6,3,0
J9,2,0
H7,3,0
J9,2,0
H9,3,-4
J9,2,0
H10,3,0
J9,2,0
I7,3,-5
J9,2,0
I10,3,-4
J9,2,0
J7,3,-5
J9,2,0
J8,3,0
J9,2,0
J10,3,-4
J9,2,0
K8,3,-5
J9,2,0
K9,3,-5
J9,2,0
K10,3,-5
J9,2,0
G7,1,-5
J10,2,-Infinity
F6,3,1
J10,2,1
F7,3,5
J10,2,5
F8,3,5
J10,2,5
G6,3,5
J10,2,5
G8,3,5
J10,2,5
G9,3,0
J10,2,5
H6,3,5
J10,2,5
H7,3,5
J10,2,5
H9,3,5
J10,2,5
H10,3,5
J10,2,5
I7,3,0
J10,2,5
I10,3,1
J10,2,5
I11,3,0
J10,2,5
J7,3,0
J10,2,5
J8,3,5
J10,2,5
J9,3,5
J10,2,5
J11,3,0
J10,2,5
K9,3,0
J10,2,5
K10,3,0
J10,2,5
K11,3,0
J10,2,5
G7,1,-5
root,0,-5
G8,1,Infinity
F7,2,-Infinity
E6,3,0
F7,2,0
E7,3,0
F7,2,0
E8,3,0
F7,2,0
F6,3,0
F7,2,0
F8,3,1
F7,2,1
F9,3,5
F7,2,5
G6,3,0
F7,2,5
G7,3,5
F7,2,5
G9,3,5
F7,2,5
H7,3,5
F7,2,5
H9,3,6
F7,2,6
H10,3,5
F7,2,6
I7,3,0
F7,2,6
I10,3,1
F7,2,6
J7,3,0
F7,2,6
J8,3,5
F7,2,6
J9,3,5
F7,2,6
J10,3,1
F7,2,6
G8,1,6
F8,2,-Infinity
E7,3,0
F8,2,0
E8,3,0
F8,2,0
E9,3,0
F8,2,0
F7,3,5
F8,2,5
F9,3,5
F8,2,5
G7,3,5
F8,2,5
G9,3,5
F8,2,5
H7,3,5
F8,2,5
H9,3,10
F8,2,10
H10,3,5
F8,2,10
I7,3,0
F8,2,10
I10,3,1
F8,2,10
J7,3,0
F8,2,10
J8,3,5
F8,2,10
J9,3,5
F8,2,10
J10,3,1
F8,2,10
G8,1,6
F9,2,-Infinity
E8,3,0
F9,2,0
E9,3,0
F9,2,0
E10,3,0
F9,2,0
F7,3,5
F9,2,5
F8,3,1
F9,2,5
F10,3,0
F9,2,5
G7,3,5
F9,2,5
