Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
I11,1,Infinity,-Infinity,Infinity
H10,2,-Infinity,-Infinity,Infinity
G9,3,5,-Infinity,Infinity
H10,2,5,5,Infinity
G10,3,5,5,Infinity
H10,2,5,5,Infinity
G11,3,5,5,Infinity
H10,2,5,5,Infinity
H9,3,5,5,Infinity
H10,2,5,5,Infinity
H11,3,10,5,Infinity
H10,2,10,10,Infinity
H12,3,10,10,Infinity
H10,2,10,10,Infinity
I9,3,5,10,Infinity
H10,2,10,10,Infinity
I10,3,10,10,Infinity
H10,2,10,10,Infinity
I12,3,20,10,Infinity
H10,2,20,20,Infinity
I13,3,6,20,Infinity
H10,2,20,20,Infinity
J9,3,505,20,Infinity
H10,2,505,505,Infinity
J10,3,10,505,Infinity
H10,2,505,505,Infinity
J11,3,5011,505,Infinity
H10,2,5011,5011,Infinity
J13,3,11,5011,Infinity
H10,2,5011,5011,Infinity
K8,3,6,5011,Infinity
H10,2,5011,5011,Infinity
K9,3,10,5011,Infinity
H10,2,5011,5011,Infinity
K13,3,21,5011,Infinity
H10,2,5011,5011,Infinity
K14,3,6,5011,Infinity
H10,2,5011,5011,Infinity
K15,3,5,5011,Infinity
H10,2,5011,5011,Infinity
K16,3,5,5011,Infinity
H10,2,5011,5011,Infinity
L8,3,10,5011,Infinity
H10,2,5011,5011,Infinity
L10,3,6,5011,Infinity
H10,2,5011,5011,Infinity
L14,3,10,5011,Infinity
H10,2,5011,5011,Infinity
L16,3,5,5011,Infinity
H10,2,5011,5011,Infinity
M8,3,6,5011,Infinity
H10,2,5011,5011,Infinity
M9,3,10,5011,Infinity
H10,2,5011,5011,Infinity
M11,3,6,5011,Infinity
H10,2,5011,5011,Infinity
M13,3,11,5011,Infinity
H10,2,5011,5011,Infinity
M15,3,10,5011,Infinity
H10,2,5011,5011,Infinity
M16,3,5,5011,Infinity
H10,2,5011,5011,Infinity
N8,3,5,5011,Infinity
H10,2,5011,5011,Infinity
N9,3,10,5011,Infinity
H10,2,5011,5011,Infinity
N10,3,11,5011,Infinity
H10,2,5011,5011,Infinity
N12,3,10,5011,Infinity
H10,2,5011,5011,Infinity
N13,3,506,5011,Infinity
H10,2,5011,5011,Infinity
N14,3,10,5011,Infinity
H10,2,5011,5011,Infinity
N15,3,5005,5011,Infinity
H10,2,5011,5011,Infinity
O8,3,5,5011,Infinity
H10,2,5011,5011,Infinity
O11,3,11,5011,Infinity
H10,2,5011,5011,Infinity
O12,3,6,5011,Infinity
H10,2,5011,5011,Infinity
P8,3,5,5011,Infinity
H10,2,5011,5011,Infinity
P9,3,15,5011,Infinity
H10,2,5011,5011,Infinity
P10,3,10,5011,Infinity
H10,2,5011,5011,Infinity
P11,3,10,5011,Infinity
H10,2,5011,5011,Infinity
I11,1,5011,-Infinity,5011
H11,2,-Infinity,-Infinity,5011
G10,3,5,-Infinity,5011
H11,2,5,5,5011
G11,3,5,5,5011
H11,2,5,5,5011
G12,3,5,5,5011
H11,2,5,5,5011
H10,3,55,5,5011
H11,2,55,55,5011
H12,3,10,55,5011
H11,2,55,55,5011
I10,3,10,55,5011
H11,2,55,55,5011
I12,3,20,55,5011
H11,2,55,55,5011
I13,3,6,55,5011
H11,2,55,55,5011
J9,3,505,55,5011
H11,2,505,505,5011
J10,3,10,505,5011
H11,2,505,505,5011
