Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
F6,1,Infinity,-Infinity,Infinity
E5,2,-450,-Infinity,Infinity
F6,1,-450,-Infinity,-450
E6,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
E7,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
F5,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
F7,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
F8,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
G5,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
G6,2,45,-Infinity,-450
F6,1,-450,-Infinity,-450
G8,2,49,-Infinity,-450
F6,1,-450,-Infinity,-450
G9,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
H5,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
H6,2,44,-Infinity,-450
F6,1,-450,-Infinity,-450
H9,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
I5,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
I8,2,39,-Infinity,-450
F6,1,-450,-Infinity,-450
I9,2,-450,-Infinity,-450
F6,1,-450,-Infinity,-450
J5,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
J8,2,44,-Infinity,-450
F6,1,-450,-Infinity,-450
K5,2,50,-Infinity,-450
F6,1,-450,-Infinity,-450
K6,2,40,-Infinity,-450
F6,1,-450,-Infinity,-450
K8,2,44,-Infinity,-450
F6,1,-450,-Infinity,-450
L6,2,40,-Infinity,-450
F6,1,-450,-Infinity,-450
L8,2,40,-Infinity,-450
F6,1,-450,-Infinity,-450
M6,2,40,-Infinity,-450
F6,1,-450,-Infinity,-450
M8,2,40,-Infinity,-450
F6,1,-450,-Infinity,-450
N6,2,45,-Infinity,-450
F6,1,-450,-Infinity,-450
N7,2,40,-Infinity,-450
F6,1,-450,-Infinity,-450
N8,2,45,-Infinity,-450
F6,1,-450,-Infinity,-450
root,0,-450,-450,Infinity
F7,1,Infinity,-450,Infinity
E6,2,1,-450,Infinity
