Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
E6,1,Infinity,-Infinity,Infinity
D5,2,-Infinity,-Infinity,Infinity
C4,3,5,-Infinity,Infinity
D5,2,5,5,Infinity
C5,3,5,5,Infinity
D5,2,5,5,Infinity
C6,3,5,5,Infinity
D5,2,5,5,Infinity
D4,3,5,5,Infinity
D5,2,5,5,Infinity
D6,3,10,5,Infinity
D5,2,10,10,Infinity
D7,3,10,10,Infinity
D5,2,10,10,Infinity
E4,3,5,10,Infinity
D5,2,10,10,Infinity
E5,3,10,10,Infinity
D5,2,10,10,Infinity
E7,3,11,10,Infinity
D5,2,11,11,Infinity
E8,3,10,11,Infinity
D5,2,11,11,Infinity
F5,3,10,11,Infinity
D5,2,11,11,Infinity
F6,3,15,11,Infinity
D5,2,15,15,Infinity
F8,3,10,15,Infinity
D5,2,15,15,Infinity
G5,3,5,15,Infinity
D5,2,15,15,Infinity
G6,3,10,15,Infinity
D5,2,15,15,Infinity
G8,3,20,15,Infinity
D5,2,20,20,Infinity
G9,3,10,20,Infinity
D5,2,20,20,Infinity
H5,3,5,20,Infinity
D5,2,20,20,Infinity
H7,3,6,20,Infinity
D5,2,20,20,Infinity
H9,3,10,20,Infinity
D5,2,20,20,Infinity
H10,3,5,20,Infinity
D5,2,20,20,Infinity
I5,3,5,20,Infinity
D5,2,20,20,Infinity
I6,3,5,20,Infinity
D5,2,20,20,Infinity
I7,3,10,20,Infinity
D5,2,20,20,Infinity
I8,3,11,20,Infinity
D5,2,20,20,Infinity
I10,3,20,20,Infinity
D5,2,20,20,Infinity
I11,3,11,20,Infinity
D5,2,20,20,Infinity
I12,3,10,20,Infinity
D5,2,20,20,Infinity
J7,3,5,20,Infinity
D5,2,20,20,Infinity
J12,3,1005,20,Infinity
D5,2,1005,1005,Infinity
K7,3,5,1005,Infinity
D5,2,1005,1005,Infinity
K8,3,10,1005,Infinity
D5,2,1005,1005,Infinity
K10,3,20,1005,Infinity
D5,2,1005,1005,Infinity
K11,3,11,1005,Infinity
D5,2,1005,1005,Infinity
K12,3,10,1005,Infinity
D5,2,1005,1005,Infinity
L8,3,5,1005,Infinity
D5,2,1005,1005,Infinity
L9,3,5,1005,Infinity
D5,2,1005,1005,Infinity
L10,3,5,1005,Infinity
D5,2,1005,1005,Infinity
E6,1,1005,-Infinity,1005
D6,2,-Infinity,-Infinity,1005
C5,3,5,-Infinity,1005
D6,2,5,5,1005
C6,3,5,5,1005
D6,2,5,5,1005
C7,3,5,5,1005
D6,2,5,5,1005
D5,3,55,5,1005
D6,2,55,55,1005
D7,3,10,55,1005
D6,2,55,55,1005
E5,3,10,55,1005
D6,2,55,55,1005
E7,3,11,55,1005
D6,2,55,55,1005
E8,3,10,55,1005
D6,2,55,55,1005
F5,3,10,55,1005
D6,2,55,55,1005
F6,3,11,55,1005
D6,2,55,55,1005
F8,3,10,55,1005
D6,2,55,55,1005
G5,3,5,55,1005
D6,2,55,55,1005
G6,3,10,55,1005
D6,2,55,55,1005
G8,3,60,55,1005
D6,2,60,60,1005
G9,3,10,60,1005
D6,2,60,60,1005
H5,3,5,60,1005
D6,2,60,60,1005
H7,3,6,60,1005
D6,2,60,60,1005
H9,3,10,60,1005
D6,2,60,60,1005
H10,3,5,60,1005
D6,2,60,60,1005
I5,3,5,60,1005
D6,2,60,60,1005
I6,3,5,60,1005
D6,2,60,60,1005
I7,3,10,60,1005
D6,2,60,60,1005
I8,3,11,60,1005
D6,2,60,60,1005
I10,3,20,60,1005
D6,2,60,60,1005
I11,3,11,60,1005
D6,2,60,60,1005
I12,3,10,60,1005
D6,2,60,60,1005
J7,3,5,60,1005
D6,2,60,60,1005
J12,3,1005,60,1005
D6,2,1005,60,1005
E6,1,1005,-Infinity,1005
D7,2,-Infinity,-Infinity,1005
C6,3,5,-Infinity,1005
D7,2,5,5,1005
C7,3,5,5,1005
D7,2,5,5,1005
C8,3,5,5,1005
D7,2,5,5,1005
D5,3,55,5,1005
D7,2,55,55,1005
D6,3,10,55,1005
