Move,Depth,Value
root,0,-Infinity
F5,1,Infinity
E4,2,0
F5,1,0
E5,2,0
F5,1,0
E6,2,0
F5,1,0
F4,2,0
F5,1,0
F6,2,-5
F5,1,-5
F7,2,-5
F5,1,-5
G4,2,0
F5,1,-5
G5,2,-5
F5,1,-5
G7,2,-505
F5,1,-505
G8,2,0
F5,1,-505
G9,2,0
F5,1,-505
H5,2,-6
F5,1,-505
H6,2,-50
F5,1,-505
H9,2,-1
F5,1,-505
H10,2,0
F5,1,-505
H11,2,0
F5,1,-505
I5,2,-1
F5,1,-505
I11,2,-5
F5,1,-505
J5,2,-1
F5,1,-505
J6,2,-5
F5,1,-505
J11,2,-1000
F5,1,-1000
K6,2,0
F5,1,-1000
K7,2,-501
F5,1,-1000
K8,2,-11
F5,1,-1000
K9,2,-7
F5,1,-1000
K10,2,-11
F5,1,-1000
K11,2,-1
F5,1,-1000
root,0,-1000
F6,1,Infinity
E5,2,0
F6,1,0
E6,2,0
F6,1,0
E7,2,0
F6,1,0
F5,2,-1
F6,1,-1
F7,2,-5
F6,1,-5
G5,2,-5
F6,1,-5
G7,2,-505
F6,1,-505
G8,2,0
F6,1,-505
G9,2,0
F6,1,-505
H5,2,-6
F6,1,-505
H6,2,-10
F6,1,-505
H9,2,-1
F6,1,-505
H10,2,0
F6,1,-505
H11,2,0
F6,1,-505
I5,2,-1
F6,1,-505
I11,2,-5
F6,1,-505
J5,2,-1
F6,1,-505
J6,2,-5
F6,1,-505
J11,2,-1000
F6,1,-1000
K6,2,0
F6,1,-1000
K7,2,-501
F6,1,-1000
K8,2,-11
F6,1,-1000
K9,2,-7
F6,1,-1000
K10,2,-11
F6,1,-1000
K11,2,-1
F6,1,-1000
root,0,-1000
F7,1,Infinity
E6,2,0
F7,1,0
E7,2,0
F7,1,0
E8,2,0
F7,1,0
F5,2,-1
F7,1,-1
F6,2,-5
F7,1,-5
F8,2,0
F7,1,-5
G5,2,-5
F7,1,-5
G7,2,-505
F7,1,-505
G8,2,0
F7,1,-505
G9,2,0
F7,1,-505
H5,2,-2
F7,1,-505
H6,2,-50
F7,1,-505
H9,2,-1
F7,1,-505
H10,2,0
F7,1,-505
H11,2,0
F7,1,-505
I5,2,-1
F7,1,-505
I11,2,-5
F7,1,-505
J5,2,-1
F7,1,-505
J6,2,-5
F7,1,-505
J11,2,-1000
F7,1,-1000
K6,2,0
F7,1,-1000
K7,2,-501
F7,1,-1000
K8,2,-11
F7,1,-1000
K9,2,-7
F7,1,-1000
K10,2,-11
F7,1,-1000
K11,2,-1
F7,1,-1000
root,0,-1000
G5,1,Infinity
F4,2,0
G5,1,0
F5,2,-1
G5,1,-1
F6,2,-5
G5,1,-5
F7,2,-5
G5,1,-5
G4,2,0
G5,1,-5
G7,2,-501
G5,1,-501
G8,2,0
G5,1,-501
G9,2,0
G5,1,-501
H4,2,0
G5,1,-501
H5,2,-6
G5,1,-501
H6,2,-50
G5,1,-501
H9,2,-1
G5,1,-501
H10,2,0
G5,1,-501
H11,2,0
G5,1,-501
I5,2,-1
G5,1,-501
I11,2,-5
G5,1,-501
J5,2,-1
G5,1,-501
J6,2,-5
G5,1,-501
J11,2,-1000
G5,1,-1000
K6,2,0
G5,1,-1000
K7,2,-501
G5,1,-1000
K8,2,-11
G5,1,-1000
K9,2,-7
G5,1,-1000
K10,2,-11
G5,1,-1000
K11,2,-1
G5,1,-1000
root,0,-1000
G7,1,Infinity
F5,2,5009
G7,1,5009
F6,2,4905
G7,1,4905
F7,2,5005
G7,1,4905
F8,2,5010
G7,1,4905
G5,2,5009
G7,1,4905
G8,2,5010
G7,1,4905
G9,2,5010
G7,1,4905
H5,2,5004
G7,1,4905
H6,2,4960
G7,1,4905
H9,2,5009
G7,1,4905
H10,2,5010
G7,1,4905
H11,2,5010
G7,1,4905
I5,2,5009
G7,1,4905
I11,2,5005
G7,1,4905
J5,2,5009
G7,1,4905
J6,2,5005
G7,1,4905
J11,2,4010
G7,1,4010
K6,2,5010
G7,1,4010
K7,2,5009
G7,1,4010
K8,2,4999
