Move,Depth,Value
root,0,-Infinity
C6,1,Infinity
B5,2,-450
C6,1,-450
B6,2,50
C6,1,-450
B7,2,50
C6,1,-450
C5,2,50
C6,1,-450
C7,2,45
C6,1,-450
C8,2,-51
C6,1,-450
C9,2,-4950
C6,1,-4950
D3,2,50
C6,1,-4950
D4,2,50
C6,1,-4950
D5,2,50
C6,1,-4950
D6,2,45
C6,1,-4950
D9,2,49
C6,1,-4950
E2,2,-49950
C6,1,-49950
E3,2,45
C6,1,-49950
E5,2,45
C6,1,-49950
E9,2,45
C6,1,-49950
F2,2,45
C6,1,-49950
F4,2,48
C6,1,-49950
F8,2,-10
C6,1,-49950
F9,2,-455
C6,1,-49950
F10,2,49
C6,1,-49950
G2,2,49
C6,1,-49950
G3,2,40
C6,1,-49950
G5,2,-5000
C6,1,-49950
G7,2,48
C6,1,-49950
G10,2,49
C6,1,-49950
H3,2,49
C6,1,-49950
H4,2,39
C6,1,-49950
H9,2,48
C6,1,-49950
H10,2,49
C6,1,-49950
H11,2,50
C6,1,-49950
H12,2,50
C6,1,-49950
I3,2,45
C6,1,-49950
I4,2,-965
C6,1,-49950
I10,2,50
C6,1,-49950
I12,2,50
C6,1,-49950
J3,2,49
C6,1,-49950
J6,2,-1
C6,1,-49950
J8,2,48
C6,1,-49950
J9,2,-950
C6,1,-49950
J11,2,50
C6,1,-49950
J12,2,50
C6,1,-49950
K3,2,40
C6,1,-49950
K4,2,45
C6,1,-49950
K5,2,45
C6,1,-49950
K6,2,45
C6,1,-49950
K8,2,45
C6,1,-49950
K9,2,50
C6,1,-49950
K10,2,50
C6,1,-49950
K12,2,50
C6,1,-49950
L6,2,45
C6,1,-49950
L7,2,49
C6,1,-49950
L8,2,45
C6,1,-49950
L10,2,50
C6,1,-49950
L11,2,50
C6,1,-49950
L12,2,50
C6,1,-49950
root,0,-49950
C7,1,Infinity
B6,2,1
C7,1,1
B7,2,1
C7,1,1
B8,2,1
C7,1,1
C6,2,1
C7,1,1
C8,2,-100
C7,1,-100
C9,2,-4999
C7,1,-4999
D3,2,1
C7,1,-4999
D4,2,1
C7,1,-4999
D5,2,1
C7,1,-4999
D6,2,-4
C7,1,-4999
D9,2,0
C7,1,-4999
E2,2,-49999
C7,1,-49999
E3,2,-4
C7,1,-49999
E5,2,-4
C7,1,-49999
E9,2,0
C7,1,-49999
F2,2,-4
C7,1,-49999
F4,2,-1
C7,1,-49999
F8,2,-59
C7,1,-49999
F9,2,-4
C7,1,-49999
F10,2,0
C7,1,-49999
G2,2,0
C7,1,-49999
G3,2,-9
C7,1,-49999
G5,2,-5049
C7,1,-49999
G7,2,-1
C7,1,-49999
G10,2,0
C7,1,-49999
H3,2,0
C7,1,-49999
H4,2,-10
C7,1,-49999
H9,2,-1
C7,1,-49999
H10,2,0
C7,1,-49999
H11,2,1
C7,1,-49999
H12,2,1
C7,1,-49999
I3,2,-4
C7,1,-49999
I4,2,-1014
C7,1,-49999
I10,2,1
C7,1,-49999
I12,2,1
C7,1,-49999
J3,2,0
C7,1,-49999
J6,2,-50
C7,1,-49999
J8,2,-1
C7,1,-49999
J9,2,-999
C7,1,-49999
J11,2,1
C7,1,-49999
J12,2,1
C7,1,-49999
K3,2,-9
C7,1,-49999
K4,2,-4
C7,1,-49999
K5,2,-4
C7,1,-49999
K6,2,-4
C7,1,-49999
K8,2,-4
C7,1,-49999
K9,2,1
C7,1,-49999
K10,2,1
C7,1,-49999
K12,2,1
C7,1,-49999
L6,2,-4
C7,1,-49999
L7,2,0
C7,1,-49999
L8,2,-4
C7,1,-49999
L10,2,1
C7,1,-49999
L11,2,1
C7,1,-49999
L12,2,1
C7,1,-49999
root,0,-49950
C8,1,Infinity
B7,2,1000
C8,1,1000
B8,2,1000
C8,1,1000
B9,2,-9000
C8,1,-9000
C6,2,1000
C8,1,-9000
C7,2,995
C8,1,-9000
C9,2,-4000
C8,1,-9000
D3,2,1000
C8,1,-9000
D4,2,1000
C8,1,-9000
D5,2,1000
C8,1,-9000
D6,2,995
C8,1,-9000
D9,2,999
C8,1,-9000
E2,2,-49000
C8,1,-49000
E3,2,995
C8,1,-49000
E5,2,995
C8,1,-49000
E9,2,995
C8,1,-49000
F2,2,995
C8,1,-49000
F4,2,998
C8,1,-49000
F8,2,940
C8,1,-49000
F9,2,995
C8,1,-49000
F10,2,999
C8,1,-49000
G2,2,999
C8,1,-49000
G3,2,990
C8,1,-49000
G5,2,-4050
C8,1,-49000
G7,2,998
C8,1,-49000
G10,2,999
C8,1,-49000
H3,2,999
C8,1,-49000
H4,2,989
C8,1,-49000
H9,2,998
C8,1,-49000
H10,2,999
C8,1,-49000
H11,2,1000
C8,1,-49000
H12,2,1000
C8,1,-49000
I3,2,995
C8,1,-49000
I4,2,-15
C8,1,-49000
I10,2,1000
C8,1,-49000
I12,2,1000
C8,1,-49000
J3,2,999
C8,1,-49000
J6,2,949
C8,1,-49000
J8,2,998
C8,1,-49000
J9,2,0
C8,1,-49000
J11,2,1000
C8,1,-49000
J12,2,1000
C8,1,-49000
K3,2,990
C8,1,-49000
K4,2,995
C8,1,-49000
K5,2,995
C8,1,-49000
K6,2,995
C8,1,-49000
K8,2,995
C8,1,-49000
K9,2,1000
C8,1,-49000
K10,2,1000
C8,1,-49000
K12,2,1000
C8,1,-49000
L6,2,995
C8,1,-49000
L7,2,999
C8,1,-49000
L8,2,995
C8,1,-49000
L10,2,1000
C8,1,-49000
L11,2,1000
C8,1,-49000
L12,2,1000
C8,1,-49000
root,0,-49000
C9,1,Infinity
B8,2,500
C9,1,500
B9,2,500
C9,1,500
B10,2,500
C9,1,500
C6,2,500
C9,1,500
C7,2,495
C9,1,495
C8,2,399
C9,1,399
C10,2,500
C9,1,399
D3,2,500
C9,1,399
D4,2,500
C9,1,399
D5,2,500
C9,1,399
D6,2,495
C9,1,399
D9,2,499
C9,1,399
D10,2,500
C9,1,399
E2,2,-49500
C9,1,-49500
E3,2,495
C9,1,-49500
E5,2,495
C9,1,-49500
E9,2,495
C9,1,-49500
F2,2,495
C9,1,-49500
F4,2,498
C9,1,-49500
F8,2,440
C9,1,-49500
F9,2,495
C9,1,-49500
F10,2,499
C9,1,-49500
G2,2,499
C9,1,-49500
G3,2,490
C9,1,-49500
G5,2,-550
C9,1,-49500
G7,2,498
C9,1,-49500
G10,2,499
C9,1,-49500
H3,2,499
C9,1,-49500
H4,2,489
C9,1,-49500
H9,2,498
C9,1,-49500
H10,2,499
C9,1,-49500
H11,2,500
C9,1,-49500
H12,2,500
C9,1,-49500
I3,2,495
C9,1,-49500
I4,2,-515
C9,1,-49500
I10,2,500
C9,1,-49500
I12,2,500
C9,1,-49500
J3,2,499
C9,1,-49500
J6,2,449
C9,1,-49500
J8,2,498
C9,1,-49500
J9,2,-500
C9,1,-49500
J11,2,500
C9,1,-49500
J12,2,500
C9,1,-49500
K3,2,490
C9,1,-49500
K4,2,495
C9,1,-49500
K5,2,495
C9,1,-49500
K6,2,495
C9,1,-49500
K8,2,495
C9,1,-49500
K9,2,500
C9,1,-49500
K10,2,500
C9,1,-49500
K12,2,500
C9,1,-49500
L6,2,495
C9,1,-49500
L7,2,499
C9,1,-49500
L8,2,495
C9,1,-49500
L10,2,500
C9,1,-49500
L11,2,500
C9,1,-49500
L12,2,500
C9,1,-49500
root,0,-49000
D3,1,Infinity
C2,2,-90
D3,1,-90
C3,2,10
D3,1,-90
C4,2,10
D3,1,-90
C6,2,10
D3,1,-90
C7,2,5
D3,1,-90
C8,2,-91
D3,1,-91
C9,2,-4990
D3,1,-4990
D2,2,10
D3,1,-4990
D4,2,10
D3,1,-4990
D5,2,10
D3,1,-4990
D6,2,5
D3,1,-4990
D9,2,9
D3,1,-4990
E2,2,-49990
D3,1,-49990
E3,2,9
D3,1,-49990
E5,2,5
D3,1,-49990
E9,2,5
D3,1,-49990
F2,2,5
D3,1,-49990
F4,2,8
D3,1,-49990
F8,2,-50
D3,1,-49990
F9,2,5
D3,1,-49990
F10,2,9
D3,1,-49990
G2,2,9
D3,1,-49990
G3,2,0
D3,1,-49990
G5,2,-5040
D3,1,-49990
G7,2,8
D3,1,-49990
G10,2,9
