Move,Depth,Value
root,0,-Infinity
D5,1,Infinity
C4,2,-Infinity
B3,3,100
C4,2,100
B4,3,100
C4,2,100
B5,3,100
C4,2,100
C3,3,100
C4,2,100
C5,3,105
C4,2,105
C6,3,105
C4,2,105
D3,3,100
C4,2,105
D4,3,105
C4,2,105
D6,3,105
C4,2,105
D7,3,100
C4,2,105
D8,3,100
C4,2,105
D9,3,100
C4,2,105
D10,3,100
C4,2,105
E4,3,110
C4,2,110
E5,3,150
C4,2,150
E7,3,100
C4,2,150
E8,3,100
C4,2,150
E10,3,601
C4,2,601
E11,3,105
C4,2,601
F4,3,101
C4,2,601
F8,3,100
C4,2,601
F11,3,156
C4,2,601
F12,3,106
C4,2,601
F13,3,105
C4,2,601
G4,3,101
C4,2,601
G5,3,105
C4,2,601
G6,3,101
C4,2,601
G7,3,110
C4,2,601
G9,3,160
C4,2,601
G13,3,115
C4,2,601
G14,3,105
C4,2,601
G15,3,100
C4,2,601
H6,3,100
C4,2,601
H11,3,110
C4,2,601
H12,3,116
C4,2,601
H15,3,100
C4,2,601
I6,3,600
C4,2,601
I7,3,155
C4,2,601
I10,3,102
C4,2,601
I11,3,100
C4,2,601
I12,3,105
C4,2,601
I13,3,105
C4,2,601
I14,3,150
C4,2,601
I15,3,100
C4,2,601
J6,3,100
C4,2,601
J7,3,110
C4,2,601
J9,3,5155
C4,2,5155
J10,3,155
C4,2,5155
K6,3,105
C4,2,5155
K10,3,110
C4,2,5155
L6,3,105
C4,2,5155
L8,3,120
C4,2,5155
L9,3,110
C4,2,5155
L10,3,150
C4,2,5155
M6,3,150
C4,2,5155
M7,3,101
C4,2,5155
M8,3,105
C4,2,5155
D5,1,5155
C5,2,-Infinity
B4,3,100
C5,2,100
B5,3,100
C5,2,100
B6,3,100
C5,2,100
C4,3,101
C5,2,101
C6,3,105
C5,2,105
D4,3,105
C5,2,105
D6,3,105
C5,2,105
D7,3,100
C5,2,105
D8,3,100
C5,2,105
D9,3,100
C5,2,105
D10,3,100
C5,2,105
E4,3,110
C5,2,110
E5,3,110
C5,2,110
E7,3,100
C5,2,110
E8,3,100
C5,2,110
E10,3,601
C5,2,601
E11,3,105
C5,2,601
F4,3,101
C5,2,601
F8,3,100
C5,2,601
F11,3,156
C5,2,601
F12,3,106
C5,2,601
F13,3,105
C5,2,601
G4,3,101
C5,2,601
G5,3,105
C5,2,601
G6,3,101
C5,2,601
G7,3,110
C5,2,601
G9,3,160
C5,2,601
G13,3,115
C5,2,601
G14,3,105
C5,2,601
G15,3,100
C5,2,601
H6,3,100
C5,2,601
H11,3,110
C5,2,601
H12,3,116
C5,2,601
H15,3,100
C5,2,601
I6,3,600
C5,2,601
I7,3,155
C5,2,601
I10,3,102
C5,2,601
I11,3,100
C5,2,601
I12,3,105
C5,2,601
I13,3,105
C5,2,601
I14,3,150
C5,2,601
I15,3,100
C5,2,601
J6,3,100
C5,2,601
J7,3,110
C5,2,601
J9,3,5155
C5,2,5155
J10,3,155
C5,2,5155
K6,3,105
C5,2,5155
K10,3,110
C5,2,5155
L6,3,105
C5,2,5155
L8,3,120
C5,2,5155
L9,3,110
C5,2,5155
L10,3,150
C5,2,5155
M6,3,150
C5,2,5155
M7,3,101
C5,2,5155
M8,3,105
C5,2,5155
D5,1,5155
C6,2,-Infinity
B5,3,100
C6,2,100
B6,3,100
C6,2,100
B7,3,100
C6,2,100
C4,3,101
C6,2,101
C5,3,105
C6,2,105
C7,3,100
C6,2,105
D4,3,105
C6,2,105
D6,3,105
C6,2,105
D7,3,100
C6,2,105
D8,3,100
C6,2,105
D9,3,100
C6,2,105
D10,3,100
C6,2,105
E4,3,106
C6,2,106
E5,3,150
C6,2,150
E7,3,100
C6,2,150
E8,3,100
C6,2,150
E10,3,601
C6,2,601
E11,3,105
C6,2,601
F4,3,101
C6,2,601
F8,3,100
C6,2,601
F11,3,156
C6,2,601
F12,3,106
C6,2,601
F13,3,105
C6,2,601
G4,3,101
C6,2,601
G5,3,105
C6,2,601
G6,3,101
C6,2,601
G7,3,110
C6,2,601
G9,3,160
C6,2,601
G13,3,115
C6,2,601
G14,3,105
C6,2,601
G15,3,100
C6,2,601
H6,3,100
C6,2,601
H11,3,110
C6,2,601
H12,3,116
C6,2,601
H15,3,100
C6,2,601
I6,3,600
C6,2,601
I7,3,155
C6,2,601
I10,3,102
C6,2,601
I11,3,100
C6,2,601
I12,3,105
C6,2,601
