Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
D5,1,Infinity,-Infinity,Infinity
C4,2,-Infinity,-Infinity,Infinity
B3,3,100,-Infinity,Infinity
C4,2,100,100,Infinity
B4,3,100,100,Infinity
C4,2,100,100,Infinity
B5,3,100,100,Infinity
C4,2,100,100,Infinity
C3,3,100,100,Infinity
C4,2,100,100,Infinity
C5,3,105,100,Infinity
C4,2,105,105,Infinity
C6,3,105,105,Infinity
C4,2,105,105,Infinity
D3,3,100,105,Infinity
C4,2,105,105,Infinity
D4,3,105,105,Infinity
C4,2,105,105,Infinity
D6,3,105,105,Infinity
C4,2,105,105,Infinity
D7,3,100,105,Infinity
C4,2,105,105,Infinity
D8,3,100,105,Infinity
C4,2,105,105,Infinity
D9,3,100,105,Infinity
C4,2,105,105,Infinity
D10,3,100,105,Infinity
C4,2,105,105,Infinity
E4,3,110,105,Infinity
C4,2,110,110,Infinity
E5,3,150,110,Infinity
C4,2,150,150,Infinity
E7,3,100,150,Infinity
C4,2,150,150,Infinity
E8,3,100,150,Infinity
C4,2,150,150,Infinity
E10,3,601,150,Infinity
C4,2,601,601,Infinity
E11,3,105,601,Infinity
C4,2,601,601,Infinity
F4,3,101,601,Infinity
C4,2,601,601,Infinity
F8,3,100,601,Infinity
C4,2,601,601,Infinity
F11,3,156,601,Infinity
C4,2,601,601,Infinity
F12,3,106,601,Infinity
C4,2,601,601,Infinity
F13,3,105,601,Infinity
C4,2,601,601,Infinity
G4,3,101,601,Infinity
C4,2,601,601,Infinity
G5,3,105,601,Infinity
C4,2,601,601,Infinity
G6,3,101,601,Infinity
C4,2,601,601,Infinity
G7,3,110,601,Infinity
C4,2,601,601,Infinity
G9,3,160,601,Infinity
C4,2,601,601,Infinity
G13,3,115,601,Infinity
C4,2,601,601,Infinity
G14,3,105,601,Infinity
C4,2,601,601,Infinity
G15,3,100,601,Infinity
C4,2,601,601,Infinity
H6,3,100,601,Infinity
C4,2,601,601,Infinity
H11,3,110,601,Infinity
C4,2,601,601,Infinity
H12,3,116,601,Infinity
C4,2,601,601,Infinity
H15,3,100,601,Infinity
C4,2,601,601,Infinity
I6,3,600,601,Infinity
C4,2,601,601,Infinity
I7,3,155,601,Infinity
C4,2,601,601,Infinity
I10,3,102,601,Infinity
C4,2,601,601,Infinity
I11,3,100,601,Infinity
C4,2,601,601,Infinity
I12,3,105,601,Infinity
C4,2,601,601,Infinity
I13,3,105,601,Infinity
C4,2,601,601,Infinity
I14,3,150,601,Infinity
C4,2,601,601,Infinity
I15,3,100,601,Infinity
C4,2,601,601,Infinity
J6,3,100,601,Infinity
C4,2,601,601,Infinity
J7,3,110,601,Infinity
C4,2,601,601,Infinity
J9,3,5155,601,Infinity
C4,2,5155,5155,Infinity
J10,3,155,5155,Infinity
C4,2,5155,5155,Infinity
K6,3,105,5155,Infinity
C4,2,5155,5155,Infinity
K10,3,110,5155,Infinity
C4,2,5155,5155,Infinity
L6,3,105,5155,Infinity
C4,2,5155,5155,Infinity
L8,3,120,5155,Infinity
C4,2,5155,5155,Infinity
L9,3,110,5155,Infinity
C4,2,5155,5155,Infinity
L10,3,150,5155,Infinity
C4,2,5155,5155,Infinity
M6,3,150,5155,Infinity
C4,2,5155,5155,Infinity
M7,3,101,5155,Infinity
C4,2,5155,5155,Infinity
M8,3,105,5155,Infinity
C4,2,5155,5155,Infinity
D5,1,5155,-Infinity,5155
C5,2,-Infinity,-Infinity,5155
B4,3,100,-Infinity,5155
C5,2,100,100,5155
B5,3,100,100,5155
C5,2,100,100,5155
B6,3,100,100,5155
C5,2,100,100,5155
C4,3,101,100,5155
C5,2,101,101,5155
C6,3,105,101,5155
C5,2,105,105,5155
D4,3,105,105,5155
C5,2,105,105,5155
D6,3,105,105,5155
C5,2,105,105,5155
D7,3,100,105,5155
C5,2,105,105,5155
D8,3,100,105,5155
C5,2,105,105,5155
D9,3,100,105,5155
C5,2,105,105,5155
D10,3,100,105,5155
C5,2,105,105,5155
E4,3,110,105,5155
C5,2,110,110,5155
E5,3,110,110,5155
C5,2,110,110,5155
E7,3,100,110,5155
C5,2,110,110,5155
E8,3,100,110,5155
C5,2,110,110,5155
E10,3,601,110,5155
C5,2,601,601,5155
E11,3,105,601,5155
C5,2,601,601,5155
F4,3,101,601,5155
C5,2,601,601,5155
F8,3,100,601,5155
C5,2,601,601,5155
F11,3,156,601,5155
C5,2,601,601,5155
F12,3,106,601,5155
C5,2,601,601,5155
F13,3,105,601,5155
C5,2,601,601,5155
G4,3,101,601,5155
C5,2,601,601,5155
G5,3,105,601,5155
C5,2,601,601,5155
G6,3,101,601,5155
C5,2,601,601,5155
G7,3,110,601,5155
C5,2,601,601,5155
G9,3,160,601,5155
C5,2,601,601,5155
G13,3,115,601,5155
C5,2,601,601,5155
G14,3,105,601,5155
C5,2,601,601,5155
G15,3,100,601,5155
C5,2,601,601,5155
H6,3,100,601,5155
C5,2,601,601,5155
H11,3,110,601,5155
C5,2,601,601,5155
H12,3,116,601,5155
C5,2,601,601,5155
H15,3,100,601,5155
C5,2,601,601,5155
I6,3,600,601,5155
