Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
F7,1,Infinity,-Infinity,Infinity
E6,2,-Infinity,-Infinity,Infinity
D5,3,Infinity,-Infinity,Infinity
C4,4,0,-Infinity,Infinity
D5,3,0,-Infinity,0
C5,4,0,-Infinity,0
D5,3,0,-Infinity,0
C6,4,0,-Infinity,0
D5,3,0,-Infinity,0
D4,4,0,-Infinity,0
D5,3,0,-Infinity,0
D6,4,-5,-Infinity,0
D5,3,-5,-Infinity,-5
D7,4,-5,-Infinity,-5
D5,3,-5,-Infinity,-5
E4,4,0,-Infinity,-5
D5,3,-5,-Infinity,-5
E5,4,-5,-Infinity,-5
D5,3,-5,-Infinity,-5
E7,4,-5,-Infinity,-5
D5,3,-5,-Infinity,-5
E8,4,0,-Infinity,-5
D5,3,-5,-Infinity,-5
F5,4,-5,-Infinity,-5
D5,3,-5,-Infinity,-5
F6,4,-5,-Infinity,-5
D5,3,-5,-Infinity,-5
F8,4,-50,-Infinity,-5
D5,3,-50,-Infinity,-50
F9,4,-5,-Infinity,-50
D5,3,-50,-Infinity,-50
F10,4,0,-Infinity,-50
D5,3,-50,-Infinity,-50
G6,4,0,-Infinity,-50
D5,3,-50,-Infinity,-50
G7,4,-6,-Infinity,-50
D5,3,-50,-Infinity,-50
G10,4,0,-Infinity,-50
D5,3,-50,-Infinity,-50
G11,4,0,-Infinity,-50
D5,3,-50,-Infinity,-50
H6,4,-5,-Infinity,-50
D5,3,-50,-Infinity,-50
H7,4,-15,-Infinity,-50
D5,3,-50,-Infinity,-50
H9,4,-2,-Infinity,-50
D5,3,-50,-Infinity,-50
H11,4,0,-Infinity,-50
D5,3,-50,-Infinity,-50
I6,4,-5,-Infinity,-50
D5,3,-50,-Infinity,-50
I8,4,-55,-Infinity,-50
D5,3,-55,-Infinity,-55
I9,4,-5,-Infinity,-55
D5,3,-55,-Infinity,-55
I10,4,0,-Infinity,-55
D5,3,-55,-Infinity,-55
I11,4,0,-Infinity,-55
D5,3,-55,-Infinity,-55
J6,4,-10,-Infinity,-55
D5,3,-55,-Infinity,-55
J7,4,-5,-Infinity,-55
D5,3,-55,-Infinity,-55
J8,4,-5,-Infinity,-55
D5,3,-55,-Infinity,-55
E6,2,-55,-55,Infinity
D6,3,Infinity,-55,Infinity
C5,4,0,-55,Infinity
D6,3,0,-55,0
C6,4,0,-55,0
D6,3,0,-55,0
C7,4,0,-55,0
D6,3,0,-55,0
D5,4,-1,-55,0
D6,3,-1,-55,-1
D7,4,-5,-55,-1
D6,3,-5,-55,-5
E5,4,-5,-55,-5
D6,3,-5,-55,-5
E7,4,-5,-55,-5
D6,3,-5,-55,-5
E8,4,0,-55,-5
D6,3,-5,-55,-5
F5,4,-5,-55,-5
D6,3,-5,-55,-5
F6,4,-1,-55,-5
D6,3,-5,-55,-5
F8,4,-50,-55,-5
D6,3,-50,-55,-50
F9,4,-5,-55,-50
D6,3,-50,-55,-50
F10,4,0,-55,-50
D6,3,-50,-55,-50
G6,4,0,-55,-50
D6,3,-50,-55,-50
G7,4,-6,-55,-50
