Move,Depth,Value
root,0,-Infinity
I11,1,Infinity
H10,2,-Infinity
G9,3,5
H10,2,5
G10,3,5
H10,2,5
G11,3,5
H10,2,5
H9,3,5
H10,2,5
H11,3,10
H10,2,10
H12,3,10
H10,2,10
I9,3,5
H10,2,10
I10,3,10
H10,2,10
I12,3,20
H10,2,20
I13,3,6
H10,2,20
J9,3,505
H10,2,505
J10,3,10
H10,2,505
J11,3,5011
H10,2,5011
J13,3,11
H10,2,5011
K8,3,6
H10,2,5011
K9,3,10
H10,2,5011
K13,3,21
H10,2,5011
K14,3,6
H10,2,5011
K15,3,5
H10,2,5011
K16,3,5
H10,2,5011
L8,3,10
H10,2,5011
L10,3,6
H10,2,5011
L14,3,10
H10,2,5011
L16,3,5
H10,2,5011
M8,3,6
H10,2,5011
M9,3,10
H10,2,5011
M11,3,6
H10,2,5011
M13,3,11
H10,2,5011
M15,3,10
H10,2,5011
M16,3,5
H10,2,5011
N8,3,5
H10,2,5011
N9,3,10
H10,2,5011
N10,3,11
H10,2,5011
N12,3,10
H10,2,5011
N13,3,506
H10,2,5011
N14,3,10
H10,2,5011
N15,3,5005
H10,2,5011
O8,3,5
H10,2,5011
O11,3,11
H10,2,5011
O12,3,6
H10,2,5011
P8,3,5
H10,2,5011
P9,3,15
H10,2,5011
P10,3,10
H10,2,5011
P11,3,10
H10,2,5011
I11,1,5011
H11,2,-Infinity
G10,3,5
H11,2,5
G11,3,5
H11,2,5
G12,3,5
H11,2,5
H10,3,55
H11,2,55
H12,3,10
H11,2,55
I10,3,10
H11,2,55
I12,3,20
H11,2,55
I13,3,6
H11,2,55
J9,3,505
H11,2,505
J10,3,10
H11,2,505
J11,3,5010
H11,2,5010
J13,3,11
H11,2,5010
K8,3,6
H11,2,5010
K9,3,10
H11,2,5010
K13,3,61
H11,2,5010
K14,3,6
H11,2,5010
K15,3,5
H11,2,5010
K16,3,5
H11,2,5010
L8,3,10
H11,2,5010
L10,3,6
H11,2,5010
L14,3,10
H11,2,5010
L16,3,5
H11,2,5010
M8,3,6
H11,2,5010
M9,3,10
H11,2,5010
M11,3,6
