Move,Depth,Value
root,0,-Infinity
E6,1,Infinity
D5,2,-Infinity
C4,3,5
D5,2,5
C5,3,5
D5,2,5
C6,3,5
D5,2,5
D4,3,5
D5,2,5
D6,3,10
D5,2,10
D7,3,10
D5,2,10
E4,3,5
D5,2,10
E5,3,10
D5,2,10
E7,3,11
D5,2,11
E8,3,10
D5,2,11
F5,3,10
D5,2,11
F6,3,15
D5,2,15
F8,3,10
D5,2,15
G5,3,5
D5,2,15
G6,3,10
D5,2,15
G8,3,20
D5,2,20
G9,3,10
D5,2,20
H5,3,5
D5,2,20
H7,3,6
D5,2,20
H9,3,10
D5,2,20
H10,3,5
D5,2,20
I5,3,5
D5,2,20
I6,3,5
D5,2,20
I7,3,10
D5,2,20
I8,3,11
D5,2,20
I10,3,20
D5,2,20
I11,3,11
D5,2,20
I12,3,10
D5,2,20
J7,3,5
D5,2,20
J12,3,1005
D5,2,1005
K7,3,5
D5,2,1005
K8,3,10
D5,2,1005
K10,3,20
D5,2,1005
K11,3,11
D5,2,1005
K12,3,10
D5,2,1005
L8,3,5
D5,2,1005
L9,3,5
D5,2,1005
L10,3,5
D5,2,1005
E6,1,1005
D6,2,-Infinity
C5,3,5
D6,2,5
C6,3,5
D6,2,5
C7,3,5
D6,2,5
D5,3,55
D6,2,55
D7,3,10
D6,2,55
E5,3,10
D6,2,55
E7,3,11
D6,2,55
E8,3,10
D6,2,55
F5,3,10
D6,2,55
F6,3,11
D6,2,55
F8,3,10
D6,2,55
G5,3,5
D6,2,55
G6,3,10
D6,2,55
G8,3,60
D6,2,60
G9,3,10
D6,2,60
H5,3,5
D6,2,60
H7,3,6
D6,2,60
H9,3,10
D6,2,60
H10,3,5
D6,2,60
I5,3,5
D6,2,60
I6,3,5
D6,2,60
I7,3,10
D6,2,60
I8,3,11
D6,2,60
I10,3,20
D6,2,60
I11,3,11
D6,2,60
I12,3,10
D6,2,60
J7,3,5
D6,2,60
J12,3,1005
D6,2,1005
K7,3,5
D6,2,1005
K8,3,10
D6,2,1005
K10,3,20
D6,2,1005
K11,3,11
D6,2,1005
K12,3,10
D6,2,1005
L8,3,5
D6,2,1005
L9,3,5
D6,2,1005
L10,3,5
D6,2,1005
E6,1,1005
D7,2,-Infinity
C6,3,5
D7,2,5
C7,3,5
D7,2,5
C8,3,5
D7,2,5
D5,3,55
D7,2,55
D6,3,10
D7,2,55
D8,3,5
D7,2,55
E5,3,10
D7,2,55
E7,3,10
D7,2,55
E8,3,10
D7,2,55
F5,3,6
D7,2,55
F6,3,15
D7,2,55
F8,3,10
D7,2,55
G5,3,5
D7,2,55
G6,3,10
D7,2,55
G8,3,60
D7,2,60
G9,3,10
D7,2,60
H5,3,5
D7,2,60
H7,3,6
D7,2,60
H9,3,10
D7,2,60
H10,3,5
D7,2,60
I5,3,5
D7,2,60
I6,3,5
D7,2,60
I7,3,10
D7,2,60
I8,3,11
D7,2,60
I10,3,20
